tokenID,name,description,file_name,attributes[Night],attributes[Sheet],attributes[Mug],attributes[Hat],attributes[Wrap],attributes[Charm]
1726,Shook'um #1726,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1726.gif,Graveyard,Blush,Blep,Witch,None,None
1727,Shook'um #1727,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1727.gif,Candy,Classic,Sleepy,Wizard,Chain,None
1728,Shook'um #1728,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1728.gif,Midnight,Classic,Normal,Bow,Collar,Pumpkin
1729,Shook'um #1729,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1729.gif,Blood Moon,Classic,Angry,Bow,Chain,Candy Corn
1730,Shook'um #1730,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1730.gif,Blush,Void,Angry,None,None,Moon
1731,Shook'um #1731,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1731.gif,Candy,Classic,Angry,Party,Cape,Candy
1732,Shook'um #1732,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1732.gif,Dusk,Classic,Blep,None,None,Candy
1733,Shook'um #1733,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1733.gif,Midnight,Void,Heart,None,None,Potion
1734,Shook'um #1734,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1734.gif,Midnight,Classic,Spooked,Cat Ears,Pearls,Bat
1735,Shook'um #1735,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1735.gif,Graveyard,Blush,Heart,None,None,Candy Corn
1736,Shook'um #1736,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1736.gif,Midnight,Blush,Angry,Pumpkin,Collar,Pumpkin
1737,Shook'um #1737,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1737.gif,Parchment,Classic,Sparkly,Cat Ears,Bowtie,Broom
1738,Shook'um #1738,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1738.gif,Candy,Classic,Normal,Cat Ears,Scarf,None
1739,Shook'um #1739,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1739.gif,Void,Blush,Heart,None,Scarf,None
1740,Shook'um #1740,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1740.gif,Blush,Blush,Wink,Halo,Chain,Moon
1741,Shook'um #1741,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1741.gif,Dusk,Blush,Sleepy,None,Bowtie,None
1742,Shook'um #1742,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1742.gif,Void,Classic,Spooked,Witch,None,Bat
1743,Shook'um #1743,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1743.gif,Pumpkin,Void,Blep,None,None,None
1744,Shook'um #1744,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1744.gif,Void,Classic,Spooked,Cat Ears,None,Potion
1745,Shook'um #1745,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1745.gif,Parchment,Classic,Normal,Pumpkin,Pearls,Candy
1746,Shook'um #1746,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1746.gif,Candy,Void,Blep,Wizard,Scarf,None
1747,Shook'um #1747,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1747.gif,Candy,Blush,Spooked,Bow,Bowtie,Potion
1748,Shook'um #1748,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1748.gif,Midnight,Void,Spooked,Bow,None,Candy
1749,Shook'um #1749,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1749.gif,Midnight,Classic,Angry,Party,Cape,None
1750,Shook'um #1750,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1750.gif,Fog,Classic,Spooked,Bow,None,None
1751,Shook'um #1751,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1751.gif,Blush,Classic,Sparkly,Flower,Cape,Moon
1752,Shook'um #1752,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1752.gif,Candy,Void,Normal,Pumpkin,Chain,None
1753,Shook'um #1753,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1753.gif,Pumpkin,Blush,Sleepy,Pumpkin,Pearls,Candy Corn
1754,Shook'um #1754,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1754.gif,Dusk,Blush,Normal,Party,None,Candy
1755,Shook'um #1755,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1755.gif,Graveyard,Void,Normal,Crown,Chain,Candy
1756,Shook'um #1756,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1756.gif,Blush,Classic,Normal,Flower,None,Candy
1757,Shook'um #1757,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1757.gif,Fog,Blush,Heart,Cat Ears,Cape,None
1758,Shook'um #1758,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1758.gif,Pumpkin,Classic,Blep,Halo,Cape,Pumpkin
1759,Shook'um #1759,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1759.gif,Pumpkin,Classic,Sleepy,None,Bowtie,Potion
1760,Shook'um #1760,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1760.gif,Parchment,Blush,Sleepy,Cat Ears,Scarf,Moon
1761,Shook'um #1761,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1761.gif,Blood Moon,Classic,Sad,None,None,Potion
1762,Shook'um #1762,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1762.gif,Blush,Classic,Starry,None,Chain,None
1763,Shook'um #1763,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1763.gif,Parchment,Blush,Blep,Halo,Collar,Pumpkin
1764,Shook'um #1764,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1764.gif,Parchment,Classic,Wink,Party,None,Candy
1765,Shook'um #1765,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1765.gif,Graveyard,Classic,Normal,Cat Ears,Chain,Candy Corn
1766,Shook'um #1766,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1766.gif,Dusk,Void,Sleepy,Pumpkin,Pearls,Candy
1767,Shook'um #1767,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1767.gif,Parchment,Classic,Sleepy,None,Collar,Candy
1768,Shook'um #1768,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1768.gif,Candy,Void,Sad,Flower,Collar,None
1769,Shook'um #1769,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1769.gif,Void,Void,Spooked,Witch,Pearls,Moon
1770,Shook'um #1770,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1770.gif,Blush,Blush,Normal,Party,None,Broom
1771,Shook'um #1771,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1771.gif,Midnight,Classic,Wink,None,None,Candy
1772,Shook'um #1772,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1772.gif,Void,Void,Normal,Wizard,None,Pumpkin
1773,Shook'um #1773,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1773.gif,Fog,Blush,Sad,Halo,None,Pumpkin
1774,Shook'um #1774,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1774.gif,Parchment,Classic,Sleepy,None,None,Candy Corn
1775,Shook'um #1775,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1775.gif,Fog,Void,Blep,Halo,Cape,Broom
1776,Shook'um #1776,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1776.gif,Blood Moon,Classic,Blep,Flower,Chain,None
1777,Shook'um #1777,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1777.gif,Blush,Blush,Angry,Witch,Cape,None
1778,Shook'um #1778,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1778.gif,Pumpkin,Blush,Spooked,None,Collar,Pumpkin
1779,Shook'um #1779,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1779.gif,Void,Classic,Sleepy,Pumpkin,Pearls,Broom
1780,Shook'um #1780,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1780.gif,Pumpkin,Blush,Normal,None,Bowtie,None
1781,Shook'um #1781,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1781.gif,Midnight,Classic,Spooked,None,Bowtie,Candy
1782,Shook'um #1782,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1782.gif,Blood Moon,Void,Sleepy,None,Scarf,Pumpkin
1783,Shook'um #1783,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1783.gif,Graveyard,Classic,Sparkly,Pumpkin,None,Candy
1784,Shook'um #1784,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1784.gif,Midnight,Blush,Normal,None,Chain,Candy Corn
1785,Shook'um #1785,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1785.gif,Blush,Classic,Normal,Crown,None,None
1786,Shook'um #1786,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1786.gif,Fog,Classic,Normal,None,None,Candy Corn
1787,Shook'um #1787,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1787.gif,Blood Moon,Classic,Sparkly,Bow,Cape,Pumpkin
1788,Shook'um #1788,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1788.gif,Pumpkin,Void,Normal,Bow,Pearls,Candy Corn
1789,Shook'um #1789,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1789.gif,Blood Moon,Void,Spooked,None,None,Pumpkin
1790,Shook'um #1790,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1790.gif,Fog,Blush,Sleepy,Witch,None,Candy Corn
1791,Shook'um #1791,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1791.gif,Blood Moon,Classic,Spooked,None,Chain,Pumpkin
1792,Shook'um #1792,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1792.gif,Fog,Blush,Sleepy,None,Scarf,Candy Corn
1793,Shook'um #1793,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1793.gif,Pumpkin,Classic,Spooked,None,Chain,Potion
1794,Shook'um #1794,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1794.gif,Midnight,Classic,Sleepy,Pumpkin,Collar,Moon
1795,Shook'um #1795,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1795.gif,Parchment,Classic,Spooked,Cat Ears,None,Pumpkin
1796,Shook'um #1796,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1796.gif,Parchment,Classic,Sleepy,Halo,Collar,Bat
1797,Shook'um #1797,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1797.gif,Midnight,Classic,Spooked,Witch,Scarf,Candy
1798,Shook'um #1798,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1798.gif,Blush,Classic,Angry,Witch,None,Bat
1799,Shook'um #1799,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1799.gif,Blush,Void,Starry,Witch,None,Pumpkin
1800,Shook'um #1800,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1800.gif,Fog,Classic,Sad,None,None,Pumpkin
1801,Shook'um #1801,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1801.gif,Blush,Classic,Blep,Cat Ears,Collar,Pumpkin
1802,Shook'um #1802,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1802.gif,Parchment,Void,Sleepy,Halo,Pearls,Candy
1803,Shook'um #1803,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1803.gif,Candy,Void,Spooked,Bow,None,Candy Corn
1804,Shook'um #1804,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1804.gif,Parchment,Void,Normal,Pumpkin,Scarf,Bat
1805,Shook'um #1805,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1805.gif,Graveyard,Classic,Wink,None,None,Pumpkin
1806,Shook'um #1806,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1806.gif,Midnight,Classic,Blep,Bow,Pearls,Moon
1807,Shook'um #1807,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1807.gif,Candy,Classic,Blep,Wizard,Scarf,Candy Corn
1808,Shook'um #1808,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1808.gif,Pumpkin,Classic,Wink,None,Chain,Candy Corn
1809,Shook'um #1809,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1809.gif,Candy,Classic,Normal,Flower,Pearls,Pumpkin
1810,Shook'um #1810,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1810.gif,Parchment,Blush,Sparkly,Pumpkin,Collar,None
1811,Shook'um #1811,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1811.gif,Dusk,Blush,Heart,Halo,None,None
1812,Shook'um #1812,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1812.gif,Fog,Void,Normal,Cat Ears,Chain,Bat
1813,Shook'um #1813,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1813.gif,Parchment,Blush,Sparkly,Witch,Chain,Candy Corn
1814,Shook'um #1814,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1814.gif,Midnight,Classic,Sad,Flower,Chain,Broom
1815,Shook'um #1815,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1815.gif,Dusk,Classic,Sleepy,Witch,Chain,Potion
1816,Shook'um #1816,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1816.gif,Pumpkin,Blush,Sleepy,None,Scarf,Broom
1817,Shook'um #1817,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1817.gif,Dusk,Classic,Wink,Crown,None,Potion
1818,Shook'um #1818,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1818.gif,Graveyard,Void,Blep,Witch,Bowtie,Candy
1819,Shook'um #1819,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1819.gif,Candy,Classic,Normal,Bow,Collar,None
1820,Shook'um #1820,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1820.gif,Blush,Void,Wink,None,Cape,Potion
1821,Shook'um #1821,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1821.gif,Midnight,Classic,Wink,None,None,Moon
1822,Shook'um #1822,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1822.gif,Void,Void,Sleepy,Bow,None,Candy
1823,Shook'um #1823,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1823.gif,Midnight,Classic,Blep,Cat Ears,Chain,Pumpkin
1824,Shook'um #1824,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1824.gif,Fog,Classic,Wink,Cat Ears,Cape,None
1825,Shook'um #1825,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1825.gif,Midnight,Blush,Sparkly,Crown,Collar,Potion
1826,Shook'um #1826,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1826.gif,Fog,Classic,Spooked,None,Chain,Candy Corn
1827,Shook'um #1827,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1827.gif,Candy,Classic,Sparkly,Witch,Scarf,None
1828,Shook'um #1828,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1828.gif,Graveyard,Void,Spooked,Halo,Chain,None
1829,Shook'um #1829,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1829.gif,Blush,Void,Normal,Witch,None,None
1830,Shook'um #1830,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1830.gif,Graveyard,Blush,Angry,Witch,Cape,None
1831,Shook'um #1831,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1831.gif,Blood Moon,Blush,Sad,None,Scarf,Potion
1832,Shook'um #1832,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1832.gif,Candy,Void,Sad,None,Cape,Pumpkin
1833,Shook'um #1833,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1833.gif,Candy,Void,Spooked,Bow,Cape,Candy Corn
1834,Shook'um #1834,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1834.gif,Blush,Void,Sleepy,Flower,None,Candy
1835,Shook'um #1835,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1835.gif,Blood Moon,Void,Normal,None,None,Potion
1836,Shook'um #1836,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1836.gif,Blush,Classic,Starry,None,Cape,Bat
1837,Shook'um #1837,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1837.gif,Fog,Classic,Blep,None,Chain,None
1838,Shook'um #1838,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1838.gif,Candy,Classic,Sleepy,Pumpkin,Cape,Candy
1839,Shook'um #1839,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1839.gif,Candy,Classic,Sleepy,Flower,None,Pumpkin
1840,Shook'um #1840,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1840.gif,Parchment,Classic,Spooked,Pumpkin,Pearls,Candy Corn
1841,Shook'um #1841,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1841.gif,Blush,Classic,Sleepy,Pumpkin,Chain,Pumpkin
1842,Shook'um #1842,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1842.gif,Parchment,Void,Blep,Pumpkin,Chain,Pumpkin
1843,Shook'um #1843,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1843.gif,Fog,Blush,Normal,Bow,Collar,Potion
1844,Shook'um #1844,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1844.gif,Fog,Classic,Spooked,Flower,None,Moon
1845,Shook'um #1845,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1845.gif,Blush,Blush,Sad,Party,None,Bat
1846,Shook'um #1846,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1846.gif,Graveyard,Void,Blep,Party,Scarf,Moon
1847,Shook'um #1847,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1847.gif,Blush,Blush,Normal,None,Chain,None
1848,Shook'um #1848,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1848.gif,Pumpkin,Classic,Blep,Wizard,Bowtie,None
1849,Shook'um #1849,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1849.gif,Parchment,Blush,Normal,Cat Ears,None,Pumpkin
1850,Shook'um #1850,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1850.gif,Midnight,Void,Normal,Bow,Scarf,Potion
1851,Shook'um #1851,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1851.gif,Pumpkin,Blush,Spooked,Cat Ears,Bowtie,Pumpkin
1852,Shook'um #1852,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1852.gif,Candy,Void,Wink,Party,None,Candy
1853,Shook'um #1853,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1853.gif,Dusk,Classic,Spooked,None,Collar,Broom
1854,Shook'um #1854,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1854.gif,Blood Moon,Classic,Spooked,Bow,None,Pumpkin
1855,Shook'um #1855,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1855.gif,Candy,Void,Wink,Halo,Scarf,None
1856,Shook'um #1856,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1856.gif,Blood Moon,Classic,Sparkly,Pumpkin,Bowtie,Pumpkin
1857,Shook'um #1857,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1857.gif,Void,Blush,Spooked,None,Scarf,None
1858,Shook'um #1858,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1858.gif,Pumpkin,Classic,Blep,Bow,Bowtie,None
1859,Shook'um #1859,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1859.gif,Graveyard,Blush,Normal,None,Bowtie,Pumpkin
1860,Shook'um #1860,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1860.gif,Pumpkin,Classic,Normal,Witch,None,None
1861,Shook'um #1861,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1861.gif,Parchment,Blush,Normal,Flower,Bowtie,Candy Corn
1862,Shook'um #1862,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1862.gif,Pumpkin,Blush,Wink,Pumpkin,Bowtie,Pumpkin
1863,Shook'um #1863,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1863.gif,Blush,Blush,Spooked,Party,Bowtie,None
1864,Shook'um #1864,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1864.gif,Pumpkin,Classic,Blep,None,Chain,Candy
1865,Shook'um #1865,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1865.gif,Blush,Void,Sleepy,Witch,Chain,Candy Corn
1866,Shook'um #1866,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1866.gif,Pumpkin,Classic,Starry,Bow,Bowtie,None
1867,Shook'um #1867,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1867.gif,Parchment,Void,Starry,Cat Ears,Scarf,Bat
1868,Shook'um #1868,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1868.gif,Graveyard,Classic,Normal,Pumpkin,Collar,Broom
1869,Shook'um #1869,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1869.gif,Pumpkin,Void,Spooked,Flower,Cape,Pumpkin
1870,Shook'um #1870,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1870.gif,Fog,Blush,Spooked,Witch,Chain,Moon
1871,Shook'um #1871,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1871.gif,Fog,Blush,Normal,None,Pearls,None
1872,Shook'um #1872,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1872.gif,Fog,Classic,Normal,None,None,Broom
1873,Shook'um #1873,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1873.gif,Candy,Classic,Spooked,Halo,None,None
1874,Shook'um #1874,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1874.gif,Parchment,Classic,Sparkly,Wizard,None,Potion
1875,Shook'um #1875,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1875.gif,Pumpkin,Blush,Angry,Party,Cape,None
1876,Shook'um #1876,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1876.gif,Midnight,Void,Spooked,Witch,None,None
1877,Shook'um #1877,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1877.gif,Fog,Blush,Spooked,Halo,Collar,Candy
1878,Shook'um #1878,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1878.gif,Midnight,Classic,Blep,Flower,Scarf,Bat
