tokenID,name,description,file_name,attributes[Venue],attributes[Note],attributes[Expression],attributes[Topper],attributes[Cable],attributes[Riff]
1043,Groovy #1043,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1043.gif,Disco Floor,Quarter,Wink,Afro,Cans,None
1044,Groovy #1044,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1044.gif,Disco Floor,Whole,Shout,None,Cans,Stars
1045,Groovy #1045,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1045.gif,Lava Lamp,Quarter,Groove,None,None,Bolt
1046,Groovy #1046,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1046.gif,Sunset Strip,Quarter,Wink,None,Gold Chain,None
1047,Groovy #1047,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1047.gif,Velvet Night,Eighth,Shout,Beanie,Cans,Stars
1048,Groovy #1048,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1048.gif,Sunset Strip,Quarter,Cool,None,None,Treble
1049,Groovy #1049,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1049.gif,Velvet Night,Quarter,Wink,Shades,Mic,Treble
1050,Groovy #1050,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1050.gif,Velvet Night,Eighth,Groove,Halo,None,None
1051,Groovy #1051,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1051.gif,Sunset Strip,Whole,Starry,Shades,Gold Chain,None
1052,Groovy #1052,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1052.gif,Lava Lamp,Quarter,Shout,None,None,Treble
1053,Groovy #1053,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1053.gif,Disco Floor,Quarter,Cool,Beanie,Gold Chain,Bolt
1054,Groovy #1054,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1054.gif,Sunset Strip,Eighth,Groove,Afro,None,Bolt
1055,Groovy #1055,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1055.gif,Sunset Strip,Eighth,Cool,None,Gold Chain,Stars
1056,Groovy #1056,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1056.gif,Sunset Strip,Quarter,Wink,Beanie,Mic,Stars
1057,Groovy #1057,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1057.gif,Velvet Night,Eighth,Cool,None,None,Vinyl
1058,Groovy #1058,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1058.gif,Sunset Strip,Quarter,Starry,Afro,None,None
1059,Groovy #1059,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1059.gif,Sunset Strip,Beamed,Cool,Beanie,Gold Chain,Bolt
1060,Groovy #1060,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1060.gif,Disco Floor,Eighth,Cool,Afro,None,None
1061,Groovy #1061,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1061.gif,Lava Lamp,Quarter,Groove,Halo,Gold Chain,None
1062,Groovy #1062,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1062.gif,Chrome Wash,Eighth,Shout,Halo,Cans,None
1063,Groovy #1063,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1063.gif,Lava Lamp,Whole,Groove,Shades,Gold Chain,Treble
1064,Groovy #1064,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1064.gif,Disco Floor,Beamed,Groove,None,Gold Chain,Vinyl
1065,Groovy #1065,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1065.gif,Blacklight,Eighth,Shout,None,Gold Chain,None
1066,Groovy #1066,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1066.gif,Blacklight,Eighth,Shout,Afro,Cans,Treble
1067,Groovy #1067,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1067.gif,Sunset Strip,Eighth,Cool,Shades,None,Stars
1068,Groovy #1068,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1068.gif,Disco Floor,Whole,Starry,Halo,Cans,Treble
1069,Groovy #1069,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1069.gif,Sunset Strip,Eighth,Shout,Afro,None,Vinyl
1070,Groovy #1070,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1070.gif,Sunset Strip,Eighth,Groove,Afro,Gold Chain,Vinyl
1071,Groovy #1071,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1071.gif,Blacklight,Quarter,Shout,Halo,None,Bolt
1072,Groovy #1072,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1072.gif,Sunset Strip,Whole,Cool,Afro,None,None
1073,Groovy #1073,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1073.gif,Disco Floor,Whole,Starry,Shades,Gold Chain,Stars
1074,Groovy #1074,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1074.gif,Disco Floor,Whole,Cool,Afro,Gold Chain,Treble
1075,Groovy #1075,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1075.gif,Blacklight,Quarter,Shout,None,Mic,Stars
1076,Groovy #1076,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1076.gif,Lava Lamp,Quarter,Wink,Afro,None,Vinyl
1077,Groovy #1077,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1077.gif,Sunset Strip,Whole,Cool,Halo,None,Treble
1078,Groovy #1078,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1078.gif,Blacklight,Quarter,Groove,Afro,Gold Chain,None
1079,Groovy #1079,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1079.gif,Lava Lamp,Eighth,Starry,Beanie,None,Treble
1080,Groovy #1080,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1080.gif,Sunset Strip,Eighth,Groove,None,Mic,Treble
1081,Groovy #1081,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1081.gif,Lava Lamp,Quarter,Groove,Halo,Mic,Bolt
1082,Groovy #1082,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1082.gif,Sunset Strip,Quarter,Shout,None,Cans,Bolt
1083,Groovy #1083,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1083.gif,Lava Lamp,Eighth,Wink,Shades,None,None
1084,Groovy #1084,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1084.gif,Lava Lamp,Quarter,Starry,Afro,Cans,None
1085,Groovy #1085,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1085.gif,Blacklight,Quarter,Starry,Shades,None,Bolt
1086,Groovy #1086,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1086.gif,Disco Floor,Beamed,Groove,Afro,None,Stars
1087,Groovy #1087,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1087.gif,Chrome Wash,Beamed,Wink,Shades,Mic,Stars
1088,Groovy #1088,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1088.gif,Disco Floor,Eighth,Cool,Halo,None,Treble
1089,Groovy #1089,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1089.gif,Disco Floor,Eighth,Groove,Afro,None,Stars
1090,Groovy #1090,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1090.gif,Blacklight,Eighth,Shout,None,None,Stars
1091,Groovy #1091,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1091.gif,Sunset Strip,Beamed,Cool,None,None,Vinyl
1092,Groovy #1092,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1092.gif,Chrome Wash,Eighth,Wink,Afro,Gold Chain,None
1093,Groovy #1093,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1093.gif,Velvet Night,Quarter,Cool,Halo,Gold Chain,Vinyl
1094,Groovy #1094,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1094.gif,Chrome Wash,Eighth,Shout,Shades,Cans,None
1095,Groovy #1095,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1095.gif,Blacklight,Whole,Wink,Shades,None,None
1096,Groovy #1096,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1096.gif,Velvet Night,Eighth,Groove,Afro,None,Bolt
1097,Groovy #1097,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1097.gif,Sunset Strip,Quarter,Shout,Shades,Gold Chain,Treble
1098,Groovy #1098,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1098.gif,Velvet Night,Whole,Cool,Afro,Gold Chain,None
1099,Groovy #1099,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1099.gif,Disco Floor,Quarter,Cool,None,Gold Chain,Vinyl
1100,Groovy #1100,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1100.gif,Blacklight,Quarter,Groove,Shades,Gold Chain,Stars
1101,Groovy #1101,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1101.gif,Blacklight,Beamed,Cool,Afro,Gold Chain,Vinyl
1102,Groovy #1102,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1102.gif,Lava Lamp,Quarter,Wink,Afro,None,Treble
1103,Groovy #1103,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1103.gif,Sunset Strip,Quarter,Shout,None,None,Treble
1104,Groovy #1104,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1104.gif,Velvet Night,Eighth,Cool,Shades,Gold Chain,Stars
1105,Groovy #1105,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1105.gif,Disco Floor,Whole,Wink,None,Cans,Stars
1106,Groovy #1106,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1106.gif,Velvet Night,Quarter,Groove,Beanie,Mic,Treble
1107,Groovy #1107,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1107.gif,Lava Lamp,Quarter,Groove,Shades,None,Stars
1108,Groovy #1108,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1108.gif,Velvet Night,Whole,Wink,Shades,Gold Chain,Vinyl
1109,Groovy #1109,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1109.gif,Sunset Strip,Quarter,Groove,Shades,Mic,Stars
1110,Groovy #1110,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1110.gif,Sunset Strip,Quarter,Cool,None,Cans,Stars
1111,Groovy #1111,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1111.gif,Sunset Strip,Beamed,Starry,None,Mic,None
1112,Groovy #1112,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1112.gif,Sunset Strip,Eighth,Cool,Afro,Gold Chain,Treble
1113,Groovy #1113,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1113.gif,Lava Lamp,Eighth,Groove,Afro,Gold Chain,None
1114,Groovy #1114,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1114.gif,Blacklight,Quarter,Cool,None,Mic,None
1115,Groovy #1115,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1115.gif,Blacklight,Quarter,Starry,Shades,Gold Chain,Vinyl
1116,Groovy #1116,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1116.gif,Disco Floor,Eighth,Starry,Shades,Cans,Treble
1117,Groovy #1117,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1117.gif,Sunset Strip,Beamed,Cool,Shades,Gold Chain,Stars
1118,Groovy #1118,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1118.gif,Sunset Strip,Eighth,Groove,Shades,None,Bolt
1119,Groovy #1119,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1119.gif,Blacklight,Quarter,Cool,Halo,Mic,None
1120,Groovy #1120,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1120.gif,Chrome Wash,Quarter,Cool,Shades,Gold Chain,Vinyl
1121,Groovy #1121,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1121.gif,Sunset Strip,Whole,Wink,None,None,Vinyl
1122,Groovy #1122,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1122.gif,Velvet Night,Quarter,Wink,Beanie,None,Vinyl
1123,Groovy #1123,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1123.gif,Sunset Strip,Beamed,Starry,Beanie,Gold Chain,Bolt
1124,Groovy #1124,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1124.gif,Disco Floor,Whole,Cool,Shades,Cans,None
1125,Groovy #1125,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1125.gif,Velvet Night,Eighth,Starry,Afro,None,None
1126,Groovy #1126,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1126.gif,Blacklight,Beamed,Groove,Shades,Mic,Stars
1127,Groovy #1127,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1127.gif,Velvet Night,Quarter,Wink,Beanie,Gold Chain,Stars
1128,Groovy #1128,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1128.gif,Lava Lamp,Quarter,Cool,Beanie,Gold Chain,Vinyl
1129,Groovy #1129,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1129.gif,Blacklight,Eighth,Wink,Halo,Gold Chain,None
1130,Groovy #1130,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1130.gif,Chrome Wash,Quarter,Wink,Afro,Mic,Bolt
1131,Groovy #1131,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1131.gif,Velvet Night,Whole,Wink,Shades,Gold Chain,None
1132,Groovy #1132,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1132.gif,Disco Floor,Eighth,Cool,Halo,Gold Chain,None
1133,Groovy #1133,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1133.gif,Lava Lamp,Eighth,Shout,Halo,None,Stars
1134,Groovy #1134,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1134.gif,Lava Lamp,Beamed,Wink,Shades,Cans,None
1135,Groovy #1135,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1135.gif,Sunset Strip,Beamed,Starry,Shades,Mic,Vinyl
1136,Groovy #1136,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1136.gif,Blacklight,Quarter,Groove,Beanie,Mic,Vinyl
1137,Groovy #1137,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1137.gif,Blacklight,Whole,Groove,Beanie,Gold Chain,None
1138,Groovy #1138,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1138.gif,Sunset Strip,Whole,Shout,Shades,Mic,Treble
1139,Groovy #1139,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1139.gif,Blacklight,Quarter,Starry,Beanie,Cans,Treble
1140,Groovy #1140,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1140.gif,Sunset Strip,Eighth,Wink,None,Mic,None
1141,Groovy #1141,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1141.gif,Blacklight,Quarter,Groove,Beanie,Cans,None
1142,Groovy #1142,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1142.gif,Sunset Strip,Whole,Wink,Shades,None,None
1143,Groovy #1143,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1143.gif,Blacklight,Whole,Groove,Halo,Cans,None
1144,Groovy #1144,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1144.gif,Lava Lamp,Eighth,Wink,None,Mic,None
1145,Groovy #1145,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1145.gif,Chrome Wash,Eighth,Shout,None,None,None
1146,Groovy #1146,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1146.gif,Lava Lamp,Eighth,Starry,Afro,None,None
1147,Groovy #1147,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1147.gif,Blacklight,Whole,Groove,Afro,Gold Chain,None
1148,Groovy #1148,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1148.gif,Blacklight,Eighth,Wink,Halo,Cans,Treble
1149,Groovy #1149,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1149.gif,Lava Lamp,Quarter,Wink,Beanie,None,None
1150,Groovy #1150,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1150.gif,Blacklight,Beamed,Cool,Afro,Cans,Treble
1151,Groovy #1151,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1151.gif,Lava Lamp,Whole,Shout,None,None,Treble
1152,Groovy #1152,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1152.gif,Disco Floor,Whole,Starry,Afro,Gold Chain,Vinyl
1153,Groovy #1153,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1153.gif,Velvet Night,Quarter,Wink,None,None,Bolt
1154,Groovy #1154,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1154.gif,Velvet Night,Quarter,Cool,None,Gold Chain,Vinyl
1155,Groovy #1155,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1155.gif,Lava Lamp,Eighth,Cool,None,None,Vinyl
1156,Groovy #1156,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1156.gif,Chrome Wash,Quarter,Cool,Beanie,None,Vinyl
1157,Groovy #1157,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1157.gif,Blacklight,Quarter,Shout,Afro,Cans,Vinyl
1158,Groovy #1158,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1158.gif,Disco Floor,Eighth,Shout,Afro,Gold Chain,Treble
1159,Groovy #1159,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1159.gif,Blacklight,Eighth,Cool,None,Gold Chain,None
1160,Groovy #1160,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1160.gif,Disco Floor,Eighth,Starry,Beanie,None,None
1161,Groovy #1161,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1161.gif,Lava Lamp,Whole,Cool,Shades,None,Treble
1162,Groovy #1162,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1162.gif,Velvet Night,Quarter,Cool,None,None,Bolt
1163,Groovy #1163,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1163.gif,Chrome Wash,Beamed,Starry,Afro,Cans,Bolt
1164,Groovy #1164,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1164.gif,Chrome Wash,Beamed,Groove,None,None,Vinyl
1165,Groovy #1165,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1165.gif,Blacklight,Eighth,Shout,Shades,Mic,Treble
1166,Groovy #1166,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1166.gif,Disco Floor,Whole,Cool,Shades,Gold Chain,None
1167,Groovy #1167,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1167.gif,Sunset Strip,Whole,Groove,Afro,Cans,None
1168,Groovy #1168,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1168.gif,Lava Lamp,Beamed,Shout,Shades,Mic,Vinyl
1169,Groovy #1169,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1169.gif,Sunset Strip,Beamed,Starry,Shades,Mic,Stars
1170,Groovy #1170,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1170.gif,Lava Lamp,Whole,Cool,Shades,Mic,Treble
1171,Groovy #1171,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1171.gif,Velvet Night,Whole,Groove,Afro,Gold Chain,Treble
1172,Groovy #1172,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1172.gif,Chrome Wash,Eighth,Cool,None,None,None
1173,Groovy #1173,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1173.gif,Lava Lamp,Whole,Shout,Halo,None,Vinyl
1174,Groovy #1174,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1174.gif,Velvet Night,Whole,Shout,Beanie,None,None
1175,Groovy #1175,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1175.gif,Chrome Wash,Whole,Cool,Halo,Mic,Vinyl
1176,Groovy #1176,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1176.gif,Blacklight,Whole,Shout,Afro,Gold Chain,Vinyl
1177,Groovy #1177,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1177.gif,Disco Floor,Quarter,Starry,Shades,Gold Chain,None
1178,Groovy #1178,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1178.gif,Lava Lamp,Eighth,Starry,None,Gold Chain,None
1179,Groovy #1179,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1179.gif,Lava Lamp,Beamed,Shout,Beanie,None,Treble
1180,Groovy #1180,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1180.gif,Sunset Strip,Beamed,Cool,Afro,Gold Chain,None
1181,Groovy #1181,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1181.gif,Velvet Night,Quarter,Shout,Shades,Gold Chain,Stars
1182,Groovy #1182,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1182.gif,Chrome Wash,Eighth,Wink,None,None,None
1183,Groovy #1183,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1183.gif,Chrome Wash,Eighth,Cool,Shades,Cans,Stars
1184,Groovy #1184,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1184.gif,Chrome Wash,Quarter,Cool,Afro,Mic,None
1185,Groovy #1185,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1185.gif,Sunset Strip,Whole,Shout,None,Mic,None
1186,Groovy #1186,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1186.gif,Velvet Night,Quarter,Wink,None,None,None
1187,Groovy #1187,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1187.gif,Lava Lamp,Quarter,Shout,None,None,Stars
1188,Groovy #1188,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1188.gif,Blacklight,Eighth,Shout,None,Mic,Bolt
1189,Groovy #1189,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1189.gif,Blacklight,Eighth,Groove,None,None,Treble
1190,Groovy #1190,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1190.gif,Disco Floor,Beamed,Cool,Halo,Cans,Stars
