tokenID,name,description,file_name,attributes[Medium],attributes[Motion],attributes[Palette],attributes[Edition]
293,Nacre Row,Mother-of-pearl without the animal.,293.gif,Nacre,Iridesce,Pearl dusk,Open
294,Cork Plank,A floor that remembers feet. No pins.,294.gif,Cork plank,Give,Tan give,Open
295,District Check,Land drawn as crossings.,295.gif,District check,Bound,Estate rust,Open
296,Tesuji,Pleats that dye like a riverbed.,296.gif,Tesuji,Pleat,Hand indigo,Open
297,Hospital Chip,Hygiene as a pattern.,297.gif,Clinic terrazzo,Clean,Clinic green,Open
298,Offset Tread,The pattern missed its registration and stayed.,298.gif,Offset plate,Shift,Mill shift,Open
299,Japanese Mail,Rings in a different grammar.,299.gif,Kusari,Drape,Kusari ink,Open
300,One Cell,One room of color.,300.gif,Single cloison,Hold,Lone enamel,Open
301,Bird Scratch,A silhouette that is a scratch.,301.gif,Bird sgraffito,Peck,Avian slip,Open
302,Temmoku Hare,Fur without the animal.,302.gif,Hare’s fur,Streak,Hare brown,Open
303,Felt Hammer,"The hit, without the string.",303.gif,Hammer felt,Strike,Felt dust,Open
304,Tiny Knot,"A whole argument, small.",304.gif,Miniature figure,Spin,Pocket amber,Open
305,Tiny Cuts,A wall for a smaller riad.,305.gif,Micro zellige,Glint,Chip glaze,Open
306,Dense Run,So many repairs the cloth is new.,306.gif,Dense sashiko,Fill,Work indigo,Open
307,Exterior Louver,A facade’s eyelashes.,307.gif,Louver,Shade,Brutal concrete,Open
308,Dense Relief,The hill is almost black with trying.,308.gif,Dense contour,Crowd,Steep brown,Open
309,Night Pad,Pressed in the dark.,309.gif,Night print,Press,Void ink,Open
310,Gold Flute,A box for nothing expensive.,310.gif,Gilt corrugate,Flash,Luxury kraft,Open
311,Night Shawl,The shawl after the lamp.,311.gif,Night paisley,Dim,Moon kashmir,Open
312,Tiny Loom,A smaller treaty.,312.gif,Miniature loom,Tick,Pocket bead,Open
313,Broken Cell,The cave failed.,313.gif,Broken muqarnas,Gap,Ruin gold,Open
314,Repeat Stamp,"The same order, again.",314.gif,Repeat stencil,March,Poster spray,Open
315,Tiny Book,A smaller icon.,315.gif,Miniature leaf,Glint,Pocket gold,Open
316,Tiny Sheet,A smaller sheet.,316.gif,Miniature deckle,Crop,Pocket rag,Open
317,Tiny Score,A smaller name.,317.gif,Miniature ogham,Tick,Pocket stone,Open
318,Tiny Strip,A smaller airport.,318.gif,Model runway,Toy,Pocket tarmac,Open
319,Tight Bind,No air left.,319.gif,Tight cane,Tension,Work cane,Open
320,Tiny Plate,A smaller dark.,320.gif,Miniature mezzotint,Glint,Pocket copper,Open
321,Shock Ribbon,"Light, not ink — but the paper still takes a scar.",321.gif,Ribbon galvanometer,Flick,Violet paper,Open
322,Cell Map,Addresses for a city that is only corners.,322.gif,Cellular map,Index,Planner blue,Open
323,Clinker,A hull that forgot the water.,323.gif,Clinker row,Overlap,Boat tar,Open
324,Ash Ladder,Rungs without a climb.,324.gif,Ash strip,Rise,Pale ash,Open
325,Overcheck,"A grid on a grid, still not a cage.",325.gif,Overcheck,Layer,Scarlet grid,Open
326,Boshi,A resist that behaves like a hat.,326.gif,Boshi shibori,Cap,Capped white,Open
327,Broken Plate,"Dinner, recycled into a ground.",327.gif,Plate terrazzo,Shard,China blue,Open
328,One Diamond,One raised fact.,328.gif,Single tread,Seat,Lone plate,Open
329,Mail Collar,A neck with no head.,329.gif,Aventail,Hang,Helm steel,Open
330,Silver Wire,"Cold metal, warm glass.",330.gif,Silver cloisonné,Trace,Moon enamel,Open
331,Wet Carve,Carved before it could dry.,331.gif,Wet sgraffito,Slip,Wet terra,Open
332,Drip Only,"One decision, gravity’s.",332.gif,Single drip,Drop,Lone glaze,Open
333,Sustain,A bar that means continue.,333.gif,Sustain pedal,Hold,Pedal brass,Open
334,Grid Scope,The knot vs the furniture.,334.gif,Graticule figure,Align,Scope grid,Open
335,Green Field,A garden with no plants.,335.gif,Green zellige,Field,Garden tile,Open
336,Gold Sashiko,Repair as jewelry.,336.gif,Gold sashiko,Gleam,Gilt indigo,Open
337,Colored Slat,A motel that is only its window.,337.gif,Colored blind,Cycle,Motel tint,Open
338,Sparse Plain,Almost no news.,338.gif,Sparse contour,Rest,Plain cream,Open
339,Red Ink,Bureaucracy as a fingertip.,339.gif,Red pad,Stamp,Official red,Open
340,Crushed,The cushion lost.,340.gif,Crushed flute,Fail,Damaged kraft,Open
341,Red Boteh,A seed that wants to be a heart.,341.gif,Red paisley,Pulse,Paisley red,Open
342,Night Bead,Strung in the dark.,342.gif,Night loom,Dim,Void glass,Open
343,Gold Leaf Vault,Light as structure.,343.gif,Gilt muqarnas,Burnish,Leaf vault,Open
344,Broken Bridge,The letter leaked.,344.gif,Broken stencil,Gap,Failed spray,Open
345,Burnish Spot,One place rubbed into a mirror.,345.gif,Burnished leaf,Polish,Mirror gold,Open
346,Couching,"Wet, transferred, still a drawing.",346.gif,Couched sheet,Press,Felt rag,Open
347,Red Cut,A charm in cuts.,347.gif,Red ogham,Mark,Amulet score,Open
348,Edge Lights,Lights without a strip.,348.gif,Edge light,Blink,Blue edge,Open
349,Loose Web,The seat gave.,349.gif,Loose cane,Sag,Summer cane,Open
350,Over Rocked,Too much night.,350.gif,Over-rocked,Flood,Black flood,Open
351,Bedrock Tick,Listening downward until the line flinches.,351.gif,Geophone paper,Tick,Ochre dust,Open
352,Amber Comb,A fossil of work.,352.gif,Amber section,Glow,Resin lamp,Open
353,Scale Fan,"One gesture, many lids.",353.gif,Scale fan,Open,Opera red,Open
354,Parquet Star,The center of a room that is only center.,354.gif,Star parquet,Align,Medallion oak,Open
355,Silk Plaid,Light doing the weaving.,355.gif,Silk plaid,Sheen,Opera plaid,Open
356,Indigo Void,The cloth went in and almost did not return.,356.gif,Vat void,Sink,Deep vat,Open
357,Gold Chip,"Ostentation, ground flat.",357.gif,Gilt terrazzo,Flash,Gilt lobby,Open
358,Rust Tread,The grip is becoming earth.,358.gif,Rusted plate,Bloom,Yard rust,Open
359,Rust Mail,Pulled from water and not cleaned.,359.gif,Rusted mail,Bloom,Bog iron,Open
360,Vessel Lip,The rim of a jar that is not here.,360.gif,Vessel cloisonné,Rim,Vase jewel,Open
361,Fine Needle,Almost engraving.,361.gif,Needle sgraffito,Tick,Needle clay,Open
362,Overfired,Too hot. Still a painting.,362.gif,Overfired drip,Boil,Blister kiln,Open
363,Lid Prop,A mouth.,363.gif,Piano lid,Open,Lacquer black,Open
364,Red Beam,A warning that learned choreography.,364.gif,Red figure,Burn,Alert red,Open
365,One Star,The rest of the wall is implied.,365.gif,Single zellige,Seat,Lone star,Open
366,Pale Cloth,Indigo that almost wasn’t.,366.gif,Pale sashiko,Whisper,Sky hemp,Open
367,Night Blind,Drawn for a sleep that does not happen.,367.gif,Night blind,Close,Sleep slat,Open
368,Fault Topo,The lines refuse to meet.,368.gif,Faulted contour,Break,Rift brown,Open
369,Tiny Whorl,A smaller someone.,369.gif,Miniature print,Spin,Pocket ink,Open
370,One Ridge,One fold of a box.,370.gif,Single flute,Hold,Lone kraft,Open
371,Pair Boteh,Two commas conferring.,371.gif,Paired boteh,Face,Twin dye,Open
372,Color Crash,The palette refused manners.,372.gif,Crash bead,Clash,Fair bead,Open
373,Corner Cascade,A fragment of a heaven.,373.gif,Muqarnas crop,Crop,Edge vault,Open
374,Circle Cut,A hole that makes a moon.,374.gif,Circle stencil,Cut,Dot spray,Open
375,Matte Field,Gold that refused to shine.,375.gif,Matte leaf,Flat,Matte gold,Open
376,Vatman,The mould coming up.,376.gif,Vat dip,Lift,Vat cream,Open
377,Two Edges,Two pillars conferring.,377.gif,Paired ogham,Face,Twin stone,Open
378,Displaced,The landing moved.,378.gif,Displaced threshold,Shift,Arrow tarmac,Open
379,Edge Cane,A fragment of a chair.,379.gif,Cane crop,Crop,Edge tan,Open
380,Edge Scrape,A fragment of a dark.,380.gif,Mezzotint crop,Crop,Edge copper,Open
381,Epicenter,"Rings that mean trouble, drawn as if they were weather.",381.gif,Iso-seismal,Bloom,Map rose,Open
382,Snow Hex,"Six arms, one decision.",382.gif,Snowflake plate,Melt,Ice paper,Open
383,Zinc Scale,A shed elevated to a painting.,383.gif,Zinc shingle,Weather,Industrial pale,Open
384,Worn Path,The walk is the drawing.,384.gif,Worn parquet,Fade,Traffic oak,Open
385,Faded Sett,The family got tired.,385.gif,Sun-faded tartan,Bleach,Washed clan,Open
386,Rice Dot,Food used as a dam.,386.gif,Rice resist,Speck,Grain blue,Open
387,Tiny Agg,A floor for a dollhouse atrium.,387.gif,Micro terrazzo,Speck,Dust marble,Open
388,Blue Plate,Shop paint over a threat.,388.gif,Painted tread,Coat,Machine blue,Open
389,Blackened,Armor that refuses highlight.,389.gif,Blackened mail,Absorb,Night iron,Open
390,Geometric,No flowers. Only law.,390.gif,Geometric cloisonné,Lock,Deco enamel,Open
391,Broad Gouged,The tool was not polite.,391.gif,Gouge sgraffito,Gouge,Wide slip,Open
392,White Crawl,The white left islands.,392.gif,Crawl white,Shrink,Snow crawl,Open
393,Tuning Pin,Hardware that is the music.,393.gif,Tuning pin,Turn,Pin steel,Open
394,Night Knot,The room is the afterglow.,394.gif,Night lissajous,Orbit,Void gold,Open
395,Corner Riad,A fragment of a courtyard.,395.gif,Zellige crop,Crop,Edge glaze,Open
396,Corner Mend,A fragment of a jacket.,396.gif,Sashiko crop,Crop,Edge indigo,Open
397,Tilt Crop,A fragment of a refusal.,397.gif,Blind crop,Crop,Edge cream,Open
398,Gold Survey,A luxury map of nothing.,398.gif,Gilt contour,Trace,Gilt map,Open
399,Over Inked,Too much identity.,399.gif,Over-inked,Flood,Heavy pad,Open
400,Edge Crop,The cut is the picture.,400.gif,Corrugate crop,Crop,Cut kraft,Open
401,Crop Curl,Only the hook.,401.gif,Boteh crop,Crop,Edge dye,Open
402,Edge Loom,A fragment of a belt.,402.gif,Loom crop,Crop,Edge glass,Open
403,Flat Muqarnas,"The ceiling, seen from above.",403.gif,Plan muqarnas,Plan,Draft gold,Open
404,Edge Mist,A fragment of an order.,404.gif,Stencil crop,Crop,Edge spray,Open
405,Edge Leaf,A fragment of an icon.,405.gif,Leaf crop,Crop,Edge gold,Open
406,Edge Crop Rag,Only the tear.,406.gif,Deckle crop,Crop,Edge rag,Open
407,Crop Arris,A fragment of a name.,407.gif,Ogham crop,Crop,Edge stone,Open
408,Crop Tarmac,A fragment of an approach.,408.gif,Runway crop,Crop,Edge yellow,Open
409,Binder Cane,The wrap that finishes a seat.,409.gif,Binder cane,Wrap,Wrap tan,Open
410,Burr Catch,A different dark — the burr holds ink.,410.gif,Drypoint burr,Catch,Burr silver,Open
411,Spikes,A neuron with nowhere to live except this strip.,411.gif,Spike train,Fire,Night phosphor,Open
412,Oil Cell,A reservoir drawn as if it were polite.,412.gif,Oilstone cell,Well,Slick umber,Open
413,Scale Void,The hole is the subject.,413.gif,Missing scale,Gap,Ink gap,Open
414,Green Oak,Unseasoned and already a pattern.,414.gif,Green oak,Cure,Raw sap,Open
415,Mini Check,"Too small for a clan, still a law.",415.gif,Mini check,Tick,Shirt pale,Open
416,Pole Crop,"Weather, framed.",416.gif,Arashi crop,Crop,Pole rust,Open
417,Corner Pour,Only the accident remains.,417.gif,Terrazzo crop,Crop,Edge chip,Open
418,Corner Grip,Only the warning.,418.gif,Tread crop,Crop,Edge mill,Open
419,One Ring,The rest of the shirt is implied.,419.gif,Single ring,Turn,Lone iron,Open
420,Pale Enamel,Color that almost declined.,420.gif,Pale cloisonné,Wash,Opal cell,Open
421,Corner Scratch,A fragment of a pot.,421.gif,Sgraffito crop,Crop,Edge slip,Open
422,Lip Run,The pour over the edge.,422.gif,Vessel lip,Spill,Rim glaze,Open
423,Key Crop,Only a few decisions.,423.gif,Key crop,Crop,Ivory edge,Open
424,Crop Lobe,One petal of a ratio.,424.gif,Lobe crop,Crop,Edge amber,Open
425,Gold Line,The line is the luxury.,425.gif,Gold zellige,Trace,Gilt tile,Open
426,Hitomezashi,"Counted, then crossed.",426.gif,Hitomezashi,Count,Grid stitch,Open
427,Wood Louver,Furniture that used to be a tree’s privacy.,427.gif,Wood louver,Breathe,Teak slat,Open
428,Tiny Knoll,A hill for a smaller country.,428.gif,Knoll,Rise,Pocket brown,Open
429,Ridge Count,Counting as a landscape.,429.gif,Ridge count,Tally,File brown,Open
430,Plastic Flute,A sign that used to campaign.,430.gif,Corflute,Flex,Yard blue,Open
431,Block Paisley,"Printed, not woven.",431.gif,Paisley block,Stamp,Wood dye,Open
432,Metal Bead,Hardware strung.,432.gif,Metal bead,Clink,Shop bead,Open
433,Shadow Cell,The caves as only their dark.,433.gif,Shadow muqarnas,Shade,Shade vault,Open
434,Two Color,The second pass missed and stayed.,434.gif,Two-pass stencil,Register,Pass spray,Open
435,Punch Dot,"The gold, dotted like a sky.",435.gif,Punched leaf,Stamp,Tool gold,Open
436,Gold Rag,A torn edge dressed up.,436.gif,Gilt deckle,Flash,Luxury rag,Open
437,Incised Deep,The tool was sure.,437.gif,Deep ogham,Gouge,Deep score,Open
438,Closed X,Do not land.,438.gif,Closed runway,Cancel,Closed white,Open
439,Plastic Cane,A porch that never was vine.,439.gif,Plastic cane,Fake,Patio white,Open
440,Two Moons,Two removals conferring.,440.gif,Paired scrape,Face,Twin copper,Open
441,Amp Trace,Voltage pretending it has a landscape.,441.gif,Oscillograph,Drive,Amber bakelite,Open
442,Capsule Hex,Medicine as architecture.,442.gif,Capsule tile,Dock,Clinic white,Open
443,Gilt Scale,A relic that repeats itself.,443.gif,Gilt scale,Burnish,Icon gold,Open
444,Tiny Blocks,A floor for a smaller building.,444.gif,Mosaique,Scatter,Toy wood,Open
445,Bias Plaid,"The sett, turned until it is a new country.",445.gif,Bias tartan,Tilt,Cut wool,Open
446,Pale Shibori,One dip. A rumor of blue.,446.gif,Once-dipped,Fade,Sky cloth,Open
447,Wet Grind,The grinder is still in the room.,447.gif,Ground terrazzo,Polish,Wet stone,Open
448,Inverted Tread,The diamonds went in instead of out.,448.gif,Debossed plate,Sink,Negative steel,Open
449,Mail Crop,A corner of a war.,449.gif,Mail crop,Crop,Edge steel,Open
450,Corner Wire,A fragment of a box.,450.gif,Cloisonné crop,Crop,Edge jewel,Open
451,Inlaid Cut,"The scratch, filled again, still a scar.",451.gif,Inlaid sgraffito,Fill,Inlay clay,Open
452,Night Tenmoku,Blacker than the room.,452.gif,Night tenmoku,Pool,Void iron,Open
453,Night Keyboard,The keys after the concert.,453.gif,Night keyboard,Walk,Nocturne,Open
454,Triple,A third voice enters and ruins the bow.,454.gif,Three-tone figure,Braid,Triple gold,Open
455,Night Riad,The courtyard after the lamps.,455.gif,Night zellige,Dim,Moon tile,Open
456,Night Mend,Mending in the dark.,456.gif,Night sashiko,Run,Void indigo,Open
457,Leaking Light,The sun wins a little.,457.gif,Light leak,Stripe,Dawn slat,Open
458,Bathymetry,"Down, not up.",458.gif,Bathymetry,Deep,Ocean ink,Open
459,Two Prints,A meeting that is only ridges.,459.gif,Paired prints,Meet,Twin pad,Open
460,Wet Kraft,The box met weather.,460.gif,Wet corrugate,Sag,Rain kraft,Open
461,Pale Kashmir,A rumor of a shawl.,461.gif,Pale paisley,Wash,Mist dye,Open
462,White Shell,The quiet half of a treaty.,462.gif,White wampum,Calm,Shell pale,Open
463,Repair Vault,The new cell does not match.,463.gif,Repaired muqarnas,Patch,Misfit gold,Open
464,Caution Stenc,A warning with no hazard.,464.gif,Caution stencil,Warn,Shop yellow,Open
465,Water Gild,Red clay under a sun.,465.gif,Water gilding,Flood,Bole red,Open
466,Two Sheets,Two tears conferring.,466.gif,Overlapped deckle,Stack,Twin rag,Open
467,Faint Score,Almost gone. Still a law.,467.gif,Faint ogham,Whisper,Weather stone,Open
468,Two Stripes,Two directions conferring.,468.gif,Paired centerline,Split,Twin yellow,Open
469,Two Hex,Two holes conferring.,469.gif,Paired cane,Meet,Twin cane,Open
470,Red Ground,Night in another color.,470.gif,Red mezzotint,Stain,Blood copper,Open
471,Postage Jolt,"The quake, reduced to a denomination.",471.gif,Stamp seismograph,Crop,Carmine pulp,Open
472,Tiny Comb,"Too small to harvest, still a field.",472.gif,Microcomb,Pulse,Nectar dusk,Open
473,Postage Scale,"Armor, perforated.",473.gif,Scale stamp,Crop,Issue blue,Open
474,Corner Chevron,Only the turn survives.,474.gif,Chevron crop,Crop,Amber varnish,Open
475,Selvedge,The edge is the only honest part.,475.gif,Selvedge plaid,Stop,Mill cream,Open
476,Night Bind,Tied in the dark on purpose.,476.gif,Night shibori,Bind,Ink vat,Open
477,Void Chip,The stone that left.,477.gif,Missing chip,Gap,Hole mint,Open
478,Runway Plate,A landing that never happens.,478.gif,Airstrip plate,Align,Tarmac silver,Open
479,Ceremonial,Too bright to hide in.,479.gif,Parade mail,Shine,Parade silver,Open
480,Fire Scale,The firing left a weather of its own.,480.gif,Fire cloisonné,Pit,Kiln ash,Open
481,Night Plaster,A wall after the lamps go out.,481.gif,Night sgraffito,Score,Moon plaster,Open
482,Postage Drip,"A shard, issued.",482.gif,Drip stamp,Crop,Shard green,Open
483,One Key,Middle C with no middle.,483.gif,Single key,Depress,Lone ivory,Open
484,Still Dot,The tones agreed to stop. Almost.,484.gif,Spot figure,Park,Parked beam,Open
485,Repair Tile,The new tile does not match. Good.,485.gif,Replacement zellige,Patch,Misfit glaze,Open
486,Red Thread,A charm stitched as a field.,486.gif,Red sashiko,Mark,Amulet red,Open
487,Industrial Fin,A blind that thinks it is an engine.,487.gif,Cooling fin,Radiate,Machine slat,Open
488,Lone Contour,One height. No neighbors.,488.gif,Single contour,Hold,Lone brown,Open
489,Void Center,The center declined.,489.gif,Delta void,Gap,Delta ink,Open
490,Aligned Flutes,Looking down the tunnels.,490.gif,End-on flute,Aim,Tunnel kraft,Open
491,Overgrown,Too many seeds.,491.gif,Dense paisley,Crowd,Jungle dye,Open
492,Drop Fringe,The belt growing a weather.,492.gif,Bead fringe,Hang,Fringe glass,Open
493,Dense Cave,Too many heavens.,493.gif,Dense muqarnas,Crowd,Packed gold,Open
494,Number Plate,A digit that forgot its lot.,494.gif,Number stencil,Count,Lot white,Open
495,Loose Leaf,Not yet stuck.,495.gif,Loose leaf,Drift,Floating gold,Open
496,Dry Edge,"The tear, set.",496.gif,Dried deckle,Cure,Sun rag,Open
497,New Cut,The stone still pale at the wound.,497.gif,Fresh ogham,Open,Fresh grey,Open
498,Wet Tarmac,The paint on water.,498.gif,Wet runway,Sheen,Rain tarmac,Open
499,Sun Bleached,The porch won.,499.gif,Bleached cane,Fade,Sun cane,Open
500,Proof Wipe,The plate after the printer.,500.gif,Wiped proof,Wipe,Rag copper,Open
