tokenID,name,description,file_name,attributes[Pulp],attributes[Fleck],attributes[Fold],attributes[Score],attributes[Facet],attributes[Seal],attributes[Draft]
2637,Fold #2637,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2637.gif,Ink Washi,Plain Sheet,Lotus,No Score,Tip Wash,Hanko,Flutter
2638,Fold #2638,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2638.gif,Cream Washi,Cloud Wash,Hare,Grid Score,Band Wash,Hanko,Corner Lift
2639,Fold #2639,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2639.gif,Cream Washi,Cloud Wash,Crane,Radial Score,Body Wash,Twin Cord,Flutter
2640,Fold #2640,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2640.gif,Cream Washi,Cloud Wash,Crane,No Score,Bare Facet,Tassel,Still Air
2641,Fold #2641,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2641.gif,Indigo Washi,Laid Stripe,Hare,Grid Score,Body Wash,Hanko,Corner Lift
2642,Fold #2642,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2642.gif,Frost Washi,Speckle,Boat,Radial Score,Band Wash,Hanko,Loose Scrap
2643,Fold #2643,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2643.gif,Vermilion Washi,Plain Sheet,Lotus,Radial Score,Body Wash,No Seal,Gust
2644,Fold #2644,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2644.gif,Moss Washi,Speckle,Frog,Grid Score,Body Wash,No Seal,Still Air
2645,Fold #2645,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2645.gif,Moss Washi,Kozo Fiber,Frog,Crease Diagram,Body Wash,Twin Cord,Gust
2646,Fold #2646,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2646.gif,Vermilion Washi,Plain Sheet,Crane,Radial Score,Band Wash,Tassel,Flutter
2647,Fold #2647,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2647.gif,Indigo Washi,Kozo Fiber,Fan,No Score,Bare Facet,Twin Cord,Corner Lift
2648,Fold #2648,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2648.gif,Ink Washi,Cloud Wash,Frog,Radial Score,Tip Wash,No Seal,Still Air
2649,Fold #2649,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2649.gif,Indigo Washi,Cloud Wash,Frog,Valley Fold,Gore Wash,No Seal,Corner Lift
2650,Fold #2650,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2650.gif,Frost Washi,Cloud Wash,Frog,No Score,Body Wash,Hanko,Flutter
2651,Fold #2651,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2651.gif,Ink Washi,Kozo Fiber,Frog,Mountain Fold,Wing Wash,No Seal,Flutter
2652,Fold #2652,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2652.gif,Indigo Washi,Speckle,Frog,Crease Diagram,Body Wash,No Seal,Loose Scrap
2653,Fold #2653,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2653.gif,Gold Washi,Cloud Wash,Hare,Valley Fold,Bare Facet,Tassel,Flutter
2654,Fold #2654,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2654.gif,Indigo Washi,Plain Sheet,Hare,Radial Score,Gore Wash,No Seal,Still Air
2655,Fold #2655,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2655.gif,Vermilion Washi,Kozo Fiber,Beetle,Mountain Fold,Body Wash,Mizuhiki Loop,Still Air
2656,Fold #2656,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2656.gif,Frost Washi,Kozo Fiber,Crane,No Score,Body Wash,Mizuhiki Loop,Gust
2657,Fold #2657,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2657.gif,Frost Washi,Kozo Fiber,Beetle,No Score,Wing Wash,Tassel,Still Air
2658,Fold #2658,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2658.gif,Cream Washi,Plain Sheet,Crane,Crease Diagram,Wing Wash,Mizuhiki Loop,Loose Scrap
2659,Fold #2659,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2659.gif,Moss Washi,Kozo Fiber,Boat,Mountain Fold,Tip Wash,Hanko,Corner Lift
2660,Fold #2660,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2660.gif,Indigo Washi,Laid Stripe,Frog,Crease Diagram,Wing Wash,Hanko,Gust
2661,Fold #2661,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2661.gif,Frost Washi,Plain Sheet,Frog,Radial Score,Bare Facet,Twin Cord,Flutter
2662,Fold #2662,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2662.gif,Indigo Washi,Plain Sheet,Beetle,Valley Fold,Tip Wash,No Seal,Flutter
2663,Fold #2663,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2663.gif,Gold Washi,Plain Sheet,Crane,Mountain Fold,Band Wash,No Seal,Still Air
2664,Fold #2664,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2664.gif,Frost Washi,Cloud Wash,Beetle,Crease Diagram,Bare Facet,No Seal,Corner Lift
2665,Fold #2665,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2665.gif,Vermilion Washi,Plain Sheet,Boat,No Score,Bare Facet,Hanko,Loose Scrap
2666,Fold #2666,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2666.gif,Cream Washi,Kozo Fiber,Fan,No Score,Tip Wash,Tassel,Flutter
2667,Fold #2667,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2667.gif,Ink Washi,Laid Stripe,Crane,Mountain Fold,Body Wash,No Seal,Corner Lift
2668,Fold #2668,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2668.gif,Frost Washi,Speckle,Fan,No Score,Body Wash,Tassel,Still Air
2669,Fold #2669,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2669.gif,Indigo Washi,Cloud Wash,Beetle,Valley Fold,Body Wash,No Seal,Corner Lift
2670,Fold #2670,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2670.gif,Frost Washi,Speckle,Hare,Grid Score,Body Wash,Mizuhiki Loop,Still Air
2671,Fold #2671,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2671.gif,Indigo Washi,Laid Stripe,Fan,Crease Diagram,Tip Wash,No Seal,Corner Lift
2672,Fold #2672,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2672.gif,Gold Washi,Plain Sheet,Beetle,Valley Fold,Body Wash,No Seal,Corner Lift
2673,Fold #2673,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2673.gif,Gold Washi,Speckle,Crane,Radial Score,Gore Wash,Mizuhiki Loop,Flutter
2674,Fold #2674,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2674.gif,Cream Washi,Laid Stripe,Hare,Valley Fold,Body Wash,Twin Cord,Still Air
2675,Fold #2675,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2675.gif,Gold Washi,Laid Stripe,Frog,Radial Score,Bare Facet,Tassel,Corner Lift
2676,Fold #2676,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2676.gif,Cream Washi,Gold Dust,Beetle,No Score,Gore Wash,No Seal,Corner Lift
2677,Fold #2677,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2677.gif,Peach Washi,Gold Dust,Fan,Radial Score,Bare Facet,Tassel,Corner Lift
2678,Fold #2678,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2678.gif,Frost Washi,Plain Sheet,Frog,Valley Fold,Tip Wash,No Seal,Still Air
2679,Fold #2679,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2679.gif,Cream Washi,Plain Sheet,Crane,Mountain Fold,Bare Facet,Mizuhiki Loop,Flutter
2680,Fold #2680,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2680.gif,Vermilion Washi,Speckle,Fan,Radial Score,Wing Wash,No Seal,Loose Scrap
2681,Fold #2681,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2681.gif,Indigo Washi,Cloud Wash,Boat,Mountain Fold,Tip Wash,Tassel,Loose Scrap
2682,Fold #2682,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2682.gif,Indigo Washi,Kozo Fiber,Beetle,Radial Score,Wing Wash,No Seal,Loose Scrap
2683,Fold #2683,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2683.gif,Vermilion Washi,Speckle,Crane,No Score,Bare Facet,Twin Cord,Loose Scrap
2684,Fold #2684,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2684.gif,Indigo Washi,Kozo Fiber,Hare,Radial Score,Tip Wash,Twin Cord,Loose Scrap
2685,Fold #2685,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2685.gif,Vermilion Washi,Speckle,Lotus,No Score,Band Wash,Tassel,Corner Lift
2686,Fold #2686,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2686.gif,Vermilion Washi,Plain Sheet,Beetle,Valley Fold,Bare Facet,Mizuhiki Loop,Still Air
2687,Fold #2687,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2687.gif,Vermilion Washi,Speckle,Hare,Valley Fold,Gore Wash,No Seal,Loose Scrap
2688,Fold #2688,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2688.gif,Frost Washi,Kozo Fiber,Frog,Grid Score,Tip Wash,No Seal,Still Air
2689,Fold #2689,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2689.gif,Gold Washi,Gold Dust,Crane,Mountain Fold,Bare Facet,Tassel,Loose Scrap
2690,Fold #2690,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2690.gif,Frost Washi,Plain Sheet,Frog,Crease Diagram,Gore Wash,Mizuhiki Loop,Flutter
2691,Fold #2691,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2691.gif,Indigo Washi,Laid Stripe,Crane,Radial Score,Bare Facet,Hanko,Corner Lift
2692,Fold #2692,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2692.gif,Vermilion Washi,Speckle,Hare,Crease Diagram,Wing Wash,Tassel,Loose Scrap
2693,Fold #2693,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2693.gif,Cream Washi,Kozo Fiber,Hare,Mountain Fold,Body Wash,Hanko,Corner Lift
2694,Fold #2694,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2694.gif,Moss Washi,Gold Dust,Frog,Valley Fold,Body Wash,Tassel,Still Air
2695,Fold #2695,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2695.gif,Cream Washi,Speckle,Hare,No Score,Wing Wash,Mizuhiki Loop,Still Air
2696,Fold #2696,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2696.gif,Peach Washi,Speckle,Crane,Mountain Fold,Body Wash,Mizuhiki Loop,Still Air
2697,Fold #2697,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2697.gif,Cream Washi,Speckle,Crane,Valley Fold,Bare Facet,Hanko,Gust
2698,Fold #2698,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2698.gif,Cream Washi,Gold Dust,Boat,No Score,Wing Wash,No Seal,Flutter
2699,Fold #2699,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2699.gif,Vermilion Washi,Plain Sheet,Hare,Valley Fold,Tip Wash,No Seal,Loose Scrap
2700,Fold #2700,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2700.gif,Vermilion Washi,Cloud Wash,Fan,Grid Score,Gore Wash,No Seal,Flutter
2701,Fold #2701,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2701.gif,Gold Washi,Gold Dust,Lotus,Crease Diagram,Tip Wash,Tassel,Flutter
2702,Fold #2702,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2702.gif,Cream Washi,Kozo Fiber,Frog,No Score,Band Wash,Mizuhiki Loop,Still Air
2703,Fold #2703,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2703.gif,Cream Washi,Speckle,Hare,Grid Score,Body Wash,No Seal,Flutter
2704,Fold #2704,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2704.gif,Vermilion Washi,Speckle,Beetle,Grid Score,Body Wash,Tassel,Still Air
2705,Fold #2705,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2705.gif,Ink Washi,Kozo Fiber,Kite,Grid Score,Band Wash,Twin Cord,Flutter
2706,Fold #2706,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2706.gif,Frost Washi,Plain Sheet,Frog,Valley Fold,Wing Wash,Tassel,Gust
2707,Fold #2707,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2707.gif,Moss Washi,Laid Stripe,Crane,Crease Diagram,Body Wash,Hanko,Corner Lift
2708,Fold #2708,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2708.gif,Frost Washi,Plain Sheet,Lotus,Radial Score,Tip Wash,Tassel,Loose Scrap
2709,Fold #2709,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2709.gif,Indigo Washi,Kozo Fiber,Frog,Grid Score,Band Wash,Twin Cord,Corner Lift
2710,Fold #2710,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2710.gif,Frost Washi,Speckle,Beetle,Grid Score,Bare Facet,Mizuhiki Loop,Loose Scrap
2711,Fold #2711,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2711.gif,Cream Washi,Laid Stripe,Hare,Radial Score,Bare Facet,Twin Cord,Flutter
2712,Fold #2712,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2712.gif,Peach Washi,Kozo Fiber,Frog,Mountain Fold,Band Wash,No Seal,Still Air
2713,Fold #2713,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2713.gif,Indigo Washi,Laid Stripe,Lotus,Radial Score,Bare Facet,Mizuhiki Loop,Corner Lift
2714,Fold #2714,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2714.gif,Moss Washi,Plain Sheet,Boat,Crease Diagram,Body Wash,Tassel,Corner Lift
2715,Fold #2715,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2715.gif,Peach Washi,Kozo Fiber,Hare,Grid Score,Bare Facet,Hanko,Corner Lift
2716,Fold #2716,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2716.gif,Cream Washi,Plain Sheet,Frog,Valley Fold,Gore Wash,Hanko,Still Air
2717,Fold #2717,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2717.gif,Ink Washi,Laid Stripe,Hare,No Score,Band Wash,Twin Cord,Still Air
2718,Fold #2718,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2718.gif,Vermilion Washi,Plain Sheet,Hare,Valley Fold,Tip Wash,Hanko,Corner Lift
2719,Fold #2719,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2719.gif,Indigo Washi,Plain Sheet,Frog,Crease Diagram,Band Wash,Tassel,Still Air
2720,Fold #2720,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2720.gif,Moss Washi,Laid Stripe,Frog,Mountain Fold,Band Wash,Mizuhiki Loop,Still Air
2721,Fold #2721,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2721.gif,Ink Washi,Kozo Fiber,Hare,Grid Score,Tip Wash,Twin Cord,Corner Lift
2722,Fold #2722,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2722.gif,Moss Washi,Plain Sheet,Kite,Valley Fold,Band Wash,Hanko,Loose Scrap
2723,Fold #2723,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2723.gif,Vermilion Washi,Plain Sheet,Boat,No Score,Bare Facet,No Seal,Flutter
2724,Fold #2724,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2724.gif,Gold Washi,Plain Sheet,Lotus,Mountain Fold,Body Wash,No Seal,Loose Scrap
2725,Fold #2725,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2725.gif,Cream Washi,Plain Sheet,Crane,Radial Score,Tip Wash,Hanko,Loose Scrap
2726,Fold #2726,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2726.gif,Indigo Washi,Laid Stripe,Kite,No Score,Tip Wash,No Seal,Flutter
2727,Fold #2727,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2727.gif,Cream Washi,Laid Stripe,Frog,Mountain Fold,Wing Wash,Twin Cord,Still Air
2728,Fold #2728,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2728.gif,Cream Washi,Speckle,Crane,No Score,Bare Facet,Hanko,Gust
2729,Fold #2729,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2729.gif,Moss Washi,Plain Sheet,Lotus,Valley Fold,Bare Facet,Hanko,Gust
2730,Fold #2730,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2730.gif,Gold Washi,Speckle,Boat,Mountain Fold,Bare Facet,Tassel,Corner Lift
2731,Fold #2731,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2731.gif,Indigo Washi,Plain Sheet,Lotus,No Score,Gore Wash,Tassel,Gust
2732,Fold #2732,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2732.gif,Vermilion Washi,Speckle,Fan,No Score,Body Wash,No Seal,Still Air
2733,Fold #2733,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2733.gif,Frost Washi,Gold Dust,Beetle,Valley Fold,Wing Wash,No Seal,Loose Scrap
2734,Fold #2734,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2734.gif,Indigo Washi,Plain Sheet,Frog,Mountain Fold,Gore Wash,Mizuhiki Loop,Corner Lift
2735,Fold #2735,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2735.gif,Moss Washi,Gold Dust,Frog,No Score,Body Wash,No Seal,Gust
2736,Fold #2736,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2736.gif,Cream Washi,Speckle,Hare,Crease Diagram,Tip Wash,Tassel,Still Air
2737,Fold #2737,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2737.gif,Frost Washi,Plain Sheet,Crane,No Score,Tip Wash,Twin Cord,Still Air
2738,Fold #2738,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2738.gif,Peach Washi,Gold Dust,Boat,No Score,Body Wash,Tassel,Gust
2739,Fold #2739,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2739.gif,Gold Washi,Kozo Fiber,Frog,Radial Score,Body Wash,Mizuhiki Loop,Loose Scrap
2740,Fold #2740,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2740.gif,Cream Washi,Kozo Fiber,Lotus,Crease Diagram,Body Wash,Tassel,Gust
2741,Fold #2741,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2741.gif,Cream Washi,Gold Dust,Beetle,Radial Score,Tip Wash,No Seal,Still Air
2742,Fold #2742,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2742.gif,Peach Washi,Plain Sheet,Crane,No Score,Body Wash,Tassel,Gust
2743,Fold #2743,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2743.gif,Moss Washi,Gold Dust,Boat,No Score,Gore Wash,No Seal,Corner Lift
2744,Fold #2744,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2744.gif,Ink Washi,Cloud Wash,Hare,No Score,Gore Wash,Tassel,Gust
2745,Fold #2745,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2745.gif,Indigo Washi,Laid Stripe,Crane,Radial Score,Wing Wash,No Seal,Corner Lift
2746,Fold #2746,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2746.gif,Frost Washi,Laid Stripe,Boat,Mountain Fold,Wing Wash,No Seal,Loose Scrap
2747,Fold #2747,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2747.gif,Moss Washi,Speckle,Beetle,Crease Diagram,Bare Facet,Tassel,Loose Scrap
2748,Fold #2748,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2748.gif,Cream Washi,Plain Sheet,Fan,Grid Score,Body Wash,Hanko,Corner Lift
2749,Fold #2749,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2749.gif,Ink Washi,Kozo Fiber,Crane,Mountain Fold,Wing Wash,Tassel,Corner Lift
2750,Fold #2750,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2750.gif,Vermilion Washi,Cloud Wash,Boat,Mountain Fold,Tip Wash,No Seal,Gust
2751,Fold #2751,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2751.gif,Vermilion Washi,Laid Stripe,Lotus,Valley Fold,Tip Wash,Hanko,Flutter
2752,Fold #2752,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2752.gif,Peach Washi,Plain Sheet,Beetle,No Score,Band Wash,No Seal,Flutter
2753,Fold #2753,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2753.gif,Gold Washi,Laid Stripe,Hare,Valley Fold,Body Wash,Hanko,Still Air
2754,Fold #2754,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2754.gif,Vermilion Washi,Plain Sheet,Crane,No Score,Bare Facet,Twin Cord,Loose Scrap
2755,Fold #2755,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2755.gif,Peach Washi,Gold Dust,Lotus,Grid Score,Wing Wash,No Seal,Still Air
2756,Fold #2756,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2756.gif,Peach Washi,Speckle,Fan,Crease Diagram,Gore Wash,Tassel,Corner Lift
2757,Fold #2757,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2757.gif,Frost Washi,Speckle,Beetle,Crease Diagram,Tip Wash,Tassel,Corner Lift
2758,Fold #2758,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2758.gif,Peach Washi,Gold Dust,Frog,Valley Fold,Tip Wash,No Seal,Still Air
2759,Fold #2759,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2759.gif,Indigo Washi,Kozo Fiber,Frog,Grid Score,Bare Facet,Twin Cord,Loose Scrap
2760,Fold #2760,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2760.gif,Indigo Washi,Gold Dust,Beetle,No Score,Wing Wash,Hanko,Corner Lift
2761,Fold #2761,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2761.gif,Ink Washi,Gold Dust,Kite,Valley Fold,Gore Wash,Mizuhiki Loop,Corner Lift
2762,Fold #2762,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2762.gif,Peach Washi,Plain Sheet,Frog,Valley Fold,Gore Wash,No Seal,Gust
