tokenID,name,description,file_name,attributes[Cloth],attributes[Ember],attributes[Cast],attributes[Hinge],attributes[Cutwork],attributes[Leaf],attributes[Soot]
778,Shade #778,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,778.gif,Smoke Screen,Moon Glow,Sage,Pearl Brad,Vine Lace,Full Leaf,Smoke Ribbon
779,Shade #779,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,779.gif,Smoke Screen,Hearth Glow,Clown,Iron Brad,Dot Lace,Gold Dust,Lamp Haze
780,Shade #780,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,780.gif,Ash Screen,Moon Glow,Bride,Pearl Brad,Star Lace,Bare Hide,Smoke Ribbon
781,Shade #781,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,781.gif,Indigo Screen,Coal Glow,Clown,Pearl Brad,Vine Lace,Gold Rim,Soot Motes
782,Shade #782,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,782.gif,Saffron Screen,Coal Glow,Bride,Brass Brad,Solid Hide,Gold Dust,Clear Air
783,Shade #783,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,783.gif,Dusk Screen,Oil Lamp,Bride,Pearl Brad,Vine Lace,Gold Rim,Spark Rise
784,Shade #784,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,784.gif,Rose Screen,Oil Lamp,Clown,Rust Brad,Diamond Lace,Full Leaf,Lamp Haze
785,Shade #785,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,785.gif,Smoke Screen,Oil Lamp,Bird,Rust Brad,Vine Lace,Bare Hide,Smoke Ribbon
786,Shade #786,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,786.gif,Parchment Screen,Coal Glow,Demon,Rust Brad,Solid Hide,Gold Rim,Lamp Haze
787,Shade #787,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,787.gif,Indigo Screen,Forge Glow,Bride,No Hinge,Star Lace,Gold Tips,Smoke Ribbon
788,Shade #788,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,788.gif,Parchment Screen,Coal Glow,Harper,Pearl Brad,Diamond Lace,Bare Hide,Soot Motes
789,Shade #789,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,789.gif,Dusk Screen,Coal Glow,Bird,Rust Brad,Dot Lace,Gold Tips,Soot Motes
790,Shade #790,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,790.gif,Ash Screen,Oil Lamp,Knight,Iron Brad,Diamond Lace,Full Leaf,Smoke Ribbon
791,Shade #791,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,791.gif,Brass Screen,Dawn Glow,Demon,No Hinge,Solid Hide,Gold Dust,Soot Motes
792,Shade #792,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,792.gif,Ash Screen,Coal Glow,Ogre,Brass Brad,Dot Lace,Gold Rim,Clear Air
793,Shade #793,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,793.gif,Saffron Screen,Dawn Glow,Sage,Pearl Brad,Dot Lace,Gold Tips,Clear Air
794,Shade #794,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,794.gif,Parchment Screen,Oil Lamp,Ogre,Brass Brad,Dot Lace,Full Leaf,Soot Motes
795,Shade #795,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,795.gif,Brass Screen,Dawn Glow,Bird,No Hinge,Star Lace,Gold Tips,Spark Rise
796,Shade #796,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,796.gif,Parchment Screen,Forge Glow,Demon,Brass Brad,Dot Lace,Gold Rim,Soot Motes
797,Shade #797,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,797.gif,Ash Screen,Forge Glow,Sage,No Hinge,Diamond Lace,Gold Rim,Soot Motes
798,Shade #798,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,798.gif,Smoke Screen,Coal Glow,Ogre,No Hinge,Diamond Lace,Full Leaf,Spark Rise
799,Shade #799,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,799.gif,Parchment Screen,Dawn Glow,Bride,Iron Brad,Solid Hide,Bare Hide,Smoke Ribbon
800,Shade #800,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,800.gif,Parchment Screen,Coal Glow,Ogre,Pearl Brad,Vine Lace,Full Leaf,Clear Air
801,Shade #801,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,801.gif,Indigo Screen,Forge Glow,Knight,Pearl Brad,Star Lace,Full Leaf,Lamp Haze
802,Shade #802,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,802.gif,Parchment Screen,Oil Lamp,Bride,Rust Brad,Solid Hide,Gold Dust,Lamp Haze
803,Shade #803,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,803.gif,Smoke Screen,Oil Lamp,Clown,No Hinge,Star Lace,Full Leaf,Spark Rise
804,Shade #804,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,804.gif,Ash Screen,Moon Glow,Harper,Iron Brad,Vine Lace,Bare Hide,Lamp Haze
805,Shade #805,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,805.gif,Rose Screen,Coal Glow,Harper,Rust Brad,Star Lace,Gold Rim,Spark Rise
806,Shade #806,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,806.gif,Parchment Screen,Moon Glow,Ogre,Rust Brad,Diamond Lace,Full Leaf,Spark Rise
807,Shade #807,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,807.gif,Parchment Screen,Hearth Glow,Bird,Rust Brad,Dot Lace,Full Leaf,Clear Air
808,Shade #808,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,808.gif,Parchment Screen,Moon Glow,Sage,Rust Brad,Star Lace,Full Leaf,Lamp Haze
809,Shade #809,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,809.gif,Dusk Screen,Moon Glow,Bride,Rust Brad,Solid Hide,Gold Dust,Clear Air
810,Shade #810,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,810.gif,Smoke Screen,Hearth Glow,Knight,Iron Brad,Diamond Lace,Gold Dust,Spark Rise
811,Shade #811,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,811.gif,Smoke Screen,Dawn Glow,Demon,Iron Brad,Solid Hide,Gold Tips,Smoke Ribbon
812,Shade #812,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,812.gif,Rose Screen,Forge Glow,Demon,Rust Brad,Solid Hide,Gold Rim,Lamp Haze
813,Shade #813,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,813.gif,Smoke Screen,Dawn Glow,Sage,No Hinge,Star Lace,Gold Tips,Clear Air
814,Shade #814,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,814.gif,Smoke Screen,Forge Glow,Knight,Brass Brad,Dot Lace,Gold Tips,Spark Rise
815,Shade #815,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,815.gif,Brass Screen,Dawn Glow,Ogre,Brass Brad,Solid Hide,Gold Rim,Soot Motes
816,Shade #816,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,816.gif,Smoke Screen,Oil Lamp,Ogre,No Hinge,Vine Lace,Bare Hide,Lamp Haze
817,Shade #817,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,817.gif,Parchment Screen,Coal Glow,Sage,Rust Brad,Vine Lace,Gold Dust,Spark Rise
818,Shade #818,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,818.gif,Rose Screen,Hearth Glow,Ogre,Brass Brad,Star Lace,Gold Tips,Soot Motes
819,Shade #819,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,819.gif,Smoke Screen,Forge Glow,Sage,No Hinge,Dot Lace,Gold Rim,Clear Air
820,Shade #820,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,820.gif,Saffron Screen,Dawn Glow,Bride,Rust Brad,Star Lace,Full Leaf,Soot Motes
821,Shade #821,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,821.gif,Rose Screen,Oil Lamp,Sage,Iron Brad,Vine Lace,Bare Hide,Lamp Haze
822,Shade #822,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,822.gif,Ash Screen,Hearth Glow,Demon,Iron Brad,Dot Lace,Bare Hide,Clear Air
823,Shade #823,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,823.gif,Rose Screen,Hearth Glow,Bird,No Hinge,Vine Lace,Full Leaf,Clear Air
824,Shade #824,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,824.gif,Parchment Screen,Coal Glow,Harper,Rust Brad,Solid Hide,Gold Dust,Clear Air
825,Shade #825,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,825.gif,Brass Screen,Dawn Glow,Bird,Rust Brad,Vine Lace,Gold Tips,Lamp Haze
826,Shade #826,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,826.gif,Parchment Screen,Moon Glow,Demon,Brass Brad,Solid Hide,Gold Dust,Soot Motes
827,Shade #827,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,827.gif,Saffron Screen,Moon Glow,Harper,Brass Brad,Solid Hide,Gold Tips,Clear Air
828,Shade #828,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,828.gif,Parchment Screen,Coal Glow,Knight,No Hinge,Vine Lace,Full Leaf,Spark Rise
829,Shade #829,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,829.gif,Saffron Screen,Oil Lamp,Bird,Pearl Brad,Solid Hide,Bare Hide,Spark Rise
830,Shade #830,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,830.gif,Ash Screen,Hearth Glow,Clown,No Hinge,Solid Hide,Gold Dust,Smoke Ribbon
831,Shade #831,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,831.gif,Indigo Screen,Hearth Glow,Harper,Pearl Brad,Dot Lace,Bare Hide,Spark Rise
832,Shade #832,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,832.gif,Ash Screen,Hearth Glow,Knight,No Hinge,Solid Hide,Full Leaf,Lamp Haze
833,Shade #833,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,833.gif,Brass Screen,Forge Glow,Demon,Iron Brad,Star Lace,Gold Rim,Clear Air
834,Shade #834,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,834.gif,Saffron Screen,Coal Glow,Bird,No Hinge,Star Lace,Full Leaf,Smoke Ribbon
835,Shade #835,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,835.gif,Dusk Screen,Dawn Glow,Harper,Iron Brad,Star Lace,Gold Dust,Lamp Haze
836,Shade #836,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,836.gif,Ash Screen,Dawn Glow,Clown,Iron Brad,Vine Lace,Gold Rim,Clear Air
837,Shade #837,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,837.gif,Parchment Screen,Moon Glow,Knight,Pearl Brad,Dot Lace,Full Leaf,Lamp Haze
838,Shade #838,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,838.gif,Brass Screen,Oil Lamp,Harper,Brass Brad,Diamond Lace,Bare Hide,Smoke Ribbon
839,Shade #839,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,839.gif,Parchment Screen,Dawn Glow,Knight,Brass Brad,Diamond Lace,Gold Dust,Lamp Haze
840,Shade #840,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,840.gif,Parchment Screen,Coal Glow,Knight,Brass Brad,Star Lace,Full Leaf,Spark Rise
841,Shade #841,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,841.gif,Brass Screen,Hearth Glow,Bride,No Hinge,Vine Lace,Gold Rim,Smoke Ribbon
842,Shade #842,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,842.gif,Brass Screen,Coal Glow,Knight,Pearl Brad,Vine Lace,Gold Tips,Smoke Ribbon
843,Shade #843,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,843.gif,Indigo Screen,Coal Glow,Harper,No Hinge,Star Lace,Bare Hide,Lamp Haze
844,Shade #844,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,844.gif,Brass Screen,Dawn Glow,Bride,Rust Brad,Dot Lace,Gold Dust,Clear Air
845,Shade #845,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,845.gif,Saffron Screen,Hearth Glow,Knight,Rust Brad,Diamond Lace,Gold Rim,Soot Motes
846,Shade #846,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,846.gif,Saffron Screen,Dawn Glow,Sage,No Hinge,Vine Lace,Bare Hide,Smoke Ribbon
847,Shade #847,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,847.gif,Saffron Screen,Oil Lamp,Sage,No Hinge,Star Lace,Gold Dust,Lamp Haze
848,Shade #848,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,848.gif,Ash Screen,Hearth Glow,Ogre,Rust Brad,Star Lace,Gold Tips,Soot Motes
849,Shade #849,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,849.gif,Indigo Screen,Dawn Glow,Clown,No Hinge,Dot Lace,Bare Hide,Smoke Ribbon
850,Shade #850,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,850.gif,Saffron Screen,Forge Glow,Clown,Pearl Brad,Star Lace,Bare Hide,Soot Motes
851,Shade #851,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,851.gif,Rose Screen,Oil Lamp,Clown,Iron Brad,Solid Hide,Gold Rim,Spark Rise
852,Shade #852,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,852.gif,Ash Screen,Coal Glow,Knight,Iron Brad,Dot Lace,Bare Hide,Soot Motes
853,Shade #853,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,853.gif,Dusk Screen,Forge Glow,Clown,No Hinge,Star Lace,Gold Dust,Lamp Haze
854,Shade #854,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,854.gif,Smoke Screen,Forge Glow,Knight,Rust Brad,Star Lace,Bare Hide,Soot Motes
855,Shade #855,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,855.gif,Rose Screen,Oil Lamp,Knight,Iron Brad,Star Lace,Bare Hide,Spark Rise
856,Shade #856,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,856.gif,Parchment Screen,Oil Lamp,Knight,Pearl Brad,Diamond Lace,Gold Rim,Smoke Ribbon
857,Shade #857,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,857.gif,Saffron Screen,Coal Glow,Clown,Rust Brad,Vine Lace,Full Leaf,Smoke Ribbon
858,Shade #858,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,858.gif,Indigo Screen,Forge Glow,Bird,Pearl Brad,Star Lace,Full Leaf,Lamp Haze
859,Shade #859,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,859.gif,Ash Screen,Moon Glow,Ogre,Pearl Brad,Solid Hide,Gold Tips,Spark Rise
860,Shade #860,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,860.gif,Rose Screen,Dawn Glow,Ogre,Pearl Brad,Vine Lace,Bare Hide,Smoke Ribbon
861,Shade #861,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,861.gif,Parchment Screen,Moon Glow,Harper,Pearl Brad,Dot Lace,Gold Dust,Lamp Haze
862,Shade #862,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,862.gif,Ash Screen,Moon Glow,Bird,Brass Brad,Solid Hide,Gold Dust,Spark Rise
863,Shade #863,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,863.gif,Parchment Screen,Dawn Glow,Ogre,No Hinge,Solid Hide,Full Leaf,Lamp Haze
864,Shade #864,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,864.gif,Ash Screen,Hearth Glow,Bride,Rust Brad,Diamond Lace,Gold Dust,Spark Rise
865,Shade #865,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,865.gif,Parchment Screen,Dawn Glow,Ogre,Pearl Brad,Star Lace,Bare Hide,Clear Air
866,Shade #866,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,866.gif,Indigo Screen,Hearth Glow,Ogre,Brass Brad,Dot Lace,Gold Rim,Clear Air
867,Shade #867,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,867.gif,Brass Screen,Coal Glow,Knight,Pearl Brad,Solid Hide,Full Leaf,Spark Rise
868,Shade #868,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,868.gif,Smoke Screen,Dawn Glow,Harper,Iron Brad,Star Lace,Gold Tips,Smoke Ribbon
869,Shade #869,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,869.gif,Brass Screen,Oil Lamp,Sage,No Hinge,Star Lace,Full Leaf,Lamp Haze
870,Shade #870,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,870.gif,Saffron Screen,Coal Glow,Ogre,No Hinge,Star Lace,Full Leaf,Soot Motes
871,Shade #871,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,871.gif,Brass Screen,Hearth Glow,Knight,Brass Brad,Star Lace,Gold Dust,Smoke Ribbon
872,Shade #872,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,872.gif,Ash Screen,Moon Glow,Knight,Rust Brad,Star Lace,Bare Hide,Lamp Haze
873,Shade #873,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,873.gif,Saffron Screen,Dawn Glow,Ogre,No Hinge,Diamond Lace,Gold Rim,Smoke Ribbon
874,Shade #874,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,874.gif,Dusk Screen,Hearth Glow,Harper,No Hinge,Dot Lace,Gold Rim,Spark Rise
875,Shade #875,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,875.gif,Saffron Screen,Forge Glow,Clown,Brass Brad,Solid Hide,Gold Tips,Spark Rise
876,Shade #876,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,876.gif,Rose Screen,Oil Lamp,Bird,Iron Brad,Solid Hide,Gold Rim,Clear Air
877,Shade #877,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,877.gif,Parchment Screen,Coal Glow,Harper,Brass Brad,Diamond Lace,Gold Dust,Soot Motes
878,Shade #878,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,878.gif,Rose Screen,Coal Glow,Clown,No Hinge,Diamond Lace,Bare Hide,Smoke Ribbon
879,Shade #879,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,879.gif,Parchment Screen,Coal Glow,Ogre,Brass Brad,Solid Hide,Bare Hide,Soot Motes
880,Shade #880,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,880.gif,Brass Screen,Hearth Glow,Sage,Brass Brad,Dot Lace,Full Leaf,Clear Air
881,Shade #881,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,881.gif,Brass Screen,Coal Glow,Knight,Rust Brad,Dot Lace,Gold Rim,Spark Rise
882,Shade #882,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,882.gif,Ash Screen,Moon Glow,Harper,Iron Brad,Star Lace,Bare Hide,Clear Air
883,Shade #883,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,883.gif,Indigo Screen,Moon Glow,Bride,Brass Brad,Star Lace,Gold Rim,Soot Motes
884,Shade #884,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,884.gif,Parchment Screen,Coal Glow,Sage,Pearl Brad,Vine Lace,Gold Tips,Lamp Haze
885,Shade #885,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,885.gif,Saffron Screen,Dawn Glow,Harper,Iron Brad,Vine Lace,Bare Hide,Lamp Haze
886,Shade #886,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,886.gif,Rose Screen,Dawn Glow,Ogre,Pearl Brad,Star Lace,Gold Tips,Smoke Ribbon
887,Shade #887,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,887.gif,Saffron Screen,Moon Glow,Bride,No Hinge,Star Lace,Gold Tips,Smoke Ribbon
888,Shade #888,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,888.gif,Brass Screen,Moon Glow,Ogre,No Hinge,Dot Lace,Gold Dust,Clear Air
889,Shade #889,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,889.gif,Dusk Screen,Hearth Glow,Bird,No Hinge,Vine Lace,Gold Dust,Spark Rise
890,Shade #890,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,890.gif,Parchment Screen,Moon Glow,Clown,Brass Brad,Solid Hide,Gold Dust,Clear Air
891,Shade #891,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,891.gif,Saffron Screen,Moon Glow,Sage,Rust Brad,Vine Lace,Gold Dust,Spark Rise
892,Shade #892,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,892.gif,Rose Screen,Oil Lamp,Clown,Pearl Brad,Star Lace,Gold Tips,Lamp Haze
893,Shade #893,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,893.gif,Parchment Screen,Coal Glow,Clown,Pearl Brad,Solid Hide,Gold Dust,Smoke Ribbon
894,Shade #894,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,894.gif,Ash Screen,Moon Glow,Knight,Brass Brad,Dot Lace,Gold Rim,Spark Rise
895,Shade #895,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,895.gif,Smoke Screen,Oil Lamp,Demon,Brass Brad,Solid Hide,Gold Rim,Spark Rise
896,Shade #896,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,896.gif,Ash Screen,Oil Lamp,Bride,Brass Brad,Vine Lace,Gold Tips,Soot Motes
897,Shade #897,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,897.gif,Rose Screen,Dawn Glow,Ogre,Brass Brad,Solid Hide,Full Leaf,Lamp Haze
898,Shade #898,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,898.gif,Rose Screen,Hearth Glow,Sage,Iron Brad,Diamond Lace,Full Leaf,Spark Rise
899,Shade #899,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,899.gif,Ash Screen,Coal Glow,Harper,Brass Brad,Solid Hide,Bare Hide,Smoke Ribbon
900,Shade #900,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,900.gif,Dusk Screen,Hearth Glow,Harper,Brass Brad,Vine Lace,Gold Rim,Spark Rise
901,Shade #901,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,901.gif,Parchment Screen,Coal Glow,Bride,Iron Brad,Solid Hide,Gold Tips,Smoke Ribbon
