tokenID,name,description,file_name,attributes[Yard],attributes[Glow],attributes[Pelt],attributes[Mug],attributes[Hat],attributes[Gear]
545,Santa Paw #545,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",545.gif,Snowy Night,Soft Halo,Gray Tabby,Blush,Pom Beanie,Sweater
546,Santa Paw #546,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",546.gif,Aurora,Ember,Gray Tabby,Cheerful,Pom Beanie,Scarf
547,Santa Paw #547,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",547.gif,Gift Wrap,Sparkle,Calico,Tongue Out,Pom Beanie,None
548,Santa Paw #548,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",548.gif,Cookie Kitchen,Sparkle,Charcoal,Sleepy,Elf Cap,Sweater
549,Santa Paw #549,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",549.gif,Snowy Night,Sparkle,White Fluff,Sleepy,Pom Beanie,Sweater
550,Santa Paw #550,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",550.gif,Cozy Hearth,No glow,Ginger,Heart Eyes,None,Bells
551,Santa Paw #551,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",551.gif,Snowy Night,Soft Halo,White Fluff,Wink,Santa Hat,Present
552,Santa Paw #552,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",552.gif,Cookie Kitchen,No glow,Ginger,Cheerful,Antlers,Cocoa
553,Santa Paw #553,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",553.gif,Aurora,Soft Halo,Gray Tabby,Sleepy,Elf Cap,Sweater
554,Santa Paw #554,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",554.gif,Cookie Kitchen,Soft Halo,Cocoa,Wink,Antlers,Sweater
555,Santa Paw #555,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",555.gif,Aurora,Sparkle,Ginger,Cheerful,None,Sweater
556,Santa Paw #556,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",556.gif,Cozy Hearth,Ember,Tuxedo,Sleepy,Holly Crown,Cocoa
557,Santa Paw #557,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",557.gif,Cookie Kitchen,Snow Glitter,Charcoal,Wink,Pom Beanie,Scarf
558,Santa Paw #558,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",558.gif,Cozy Hearth,Soft Halo,Charcoal,Wink,Elf Cap,Sweater
559,Santa Paw #559,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",559.gif,Cozy Hearth,No glow,Charcoal,Cheerful,None,None
560,Santa Paw #560,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",560.gif,Snowy Night,Snow Glitter,Calico,Cheerful,Holly Crown,Sweater
561,Santa Paw #561,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",561.gif,Cozy Hearth,Sparkle,Calico,Cheerful,None,Sweater
562,Santa Paw #562,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",562.gif,Gift Wrap,Sparkle,Gray Tabby,Wink,Pom Beanie,Stocking
563,Santa Paw #563,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",563.gif,Gift Wrap,No glow,Ginger,Heart Eyes,Santa Hat,Mistletoe
564,Santa Paw #564,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",564.gif,Cookie Kitchen,Sparkle,White Fluff,Cheerful,Pom Beanie,Cocoa
565,Santa Paw #565,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",565.gif,Snowy Night,Ember,Ginger,Surprised,Santa Hat,Scarf
566,Santa Paw #566,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",566.gif,Snowy Night,Snow Glitter,Tuxedo,Cheerful,Antlers,Scarf
567,Santa Paw #567,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",567.gif,Aurora,No glow,White Fluff,Blush,None,Bells
568,Santa Paw #568,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",568.gif,Candy Cane,Soft Halo,Tuxedo,Sleepy,Elf Cap,Scarf
569,Santa Paw #569,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",569.gif,Gift Wrap,Soft Halo,Tuxedo,Sleepy,Santa Hat,Scarf
570,Santa Paw #570,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",570.gif,Aurora,No glow,Gray Tabby,Heart Eyes,Holly Crown,Present
571,Santa Paw #571,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",571.gif,Cookie Kitchen,Sparkle,Charcoal,Heart Eyes,None,Scarf
572,Santa Paw #572,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",572.gif,Aurora,Soft Halo,Ginger,Heart Eyes,None,Mistletoe
573,Santa Paw #573,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",573.gif,Cookie Kitchen,Snow Glitter,White Fluff,Sleepy,Elf Cap,None
574,Santa Paw #574,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",574.gif,Snowy Night,Soft Halo,White Fluff,Heart Eyes,Elf Cap,Stocking
575,Santa Paw #575,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",575.gif,Cookie Kitchen,Ember,White Fluff,Surprised,Pom Beanie,Sweater
576,Santa Paw #576,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",576.gif,Cookie Kitchen,Ember,Cocoa,Wink,Santa Hat,Cocoa
577,Santa Paw #577,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",577.gif,Snowy Night,Sparkle,Calico,Blush,Antlers,Scarf
578,Santa Paw #578,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",578.gif,Cookie Kitchen,Sparkle,Gray Tabby,Cheerful,Holly Crown,Sweater
579,Santa Paw #579,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",579.gif,Aurora,Soft Halo,Tuxedo,Heart Eyes,Pom Beanie,Bells
580,Santa Paw #580,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",580.gif,Cozy Hearth,Soft Halo,Calico,Sleepy,Pom Beanie,Present
581,Santa Paw #581,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",581.gif,Cozy Hearth,Soft Halo,Ginger,Wink,Elf Cap,Bells
582,Santa Paw #582,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",582.gif,Cookie Kitchen,No glow,Calico,Heart Eyes,None,Sweater
583,Santa Paw #583,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",583.gif,Cookie Kitchen,Snow Glitter,Tuxedo,Cheerful,Elf Cap,Sweater
584,Santa Paw #584,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",584.gif,Cozy Hearth,Sparkle,Ginger,Cheerful,Santa Hat,Sweater
585,Santa Paw #585,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",585.gif,Candy Cane,Soft Halo,Charcoal,Heart Eyes,Antlers,Present
586,Santa Paw #586,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",586.gif,Cozy Hearth,Soft Halo,Cocoa,Tongue Out,Antlers,Sweater
587,Santa Paw #587,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",587.gif,Candy Cane,Ember,White Fluff,Surprised,Holly Crown,Scarf
588,Santa Paw #588,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",588.gif,Snowy Night,Ember,Tuxedo,Surprised,Pom Beanie,Bells
589,Santa Paw #589,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",589.gif,Aurora,Snow Glitter,Gray Tabby,Cheerful,Antlers,Mistletoe
590,Santa Paw #590,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",590.gif,Candy Cane,No glow,Ginger,Sleepy,Pom Beanie,Stocking
591,Santa Paw #591,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",591.gif,Snowy Night,Soft Halo,Gray Tabby,Surprised,Santa Hat,Bells
592,Santa Paw #592,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",592.gif,Cookie Kitchen,Soft Halo,Gray Tabby,Heart Eyes,Santa Hat,Scarf
593,Santa Paw #593,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",593.gif,Gift Wrap,Sparkle,Cocoa,Tongue Out,Holly Crown,None
594,Santa Paw #594,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",594.gif,Cozy Hearth,No glow,Ginger,Tongue Out,None,None
595,Santa Paw #595,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",595.gif,Cookie Kitchen,Snow Glitter,Tuxedo,Cheerful,Santa Hat,Present
596,Santa Paw #596,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",596.gif,Candy Cane,Snow Glitter,Gray Tabby,Wink,Antlers,None
597,Santa Paw #597,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",597.gif,Snowy Night,Sparkle,Cocoa,Cheerful,Holly Crown,Sweater
598,Santa Paw #598,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",598.gif,Gift Wrap,Sparkle,Gray Tabby,Cheerful,Holly Crown,Mistletoe
599,Santa Paw #599,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",599.gif,Candy Cane,Sparkle,Gray Tabby,Surprised,Pom Beanie,Cocoa
600,Santa Paw #600,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",600.gif,Cookie Kitchen,No glow,Calico,Cheerful,Antlers,Scarf
601,Santa Paw #601,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",601.gif,Cookie Kitchen,No glow,Gray Tabby,Blush,Santa Hat,Scarf
602,Santa Paw #602,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",602.gif,Aurora,No glow,Calico,Cheerful,Elf Cap,Scarf
603,Santa Paw #603,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",603.gif,Cozy Hearth,No glow,White Fluff,Sleepy,Holly Crown,Scarf
604,Santa Paw #604,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",604.gif,Aurora,No glow,White Fluff,Surprised,Antlers,Cocoa
605,Santa Paw #605,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",605.gif,Cozy Hearth,Sparkle,Calico,Sleepy,Holly Crown,Present
606,Santa Paw #606,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",606.gif,Gift Wrap,No glow,White Fluff,Heart Eyes,Elf Cap,None
607,Santa Paw #607,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",607.gif,Cozy Hearth,Soft Halo,White Fluff,Cheerful,Elf Cap,Scarf
608,Santa Paw #608,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",608.gif,Cozy Hearth,Sparkle,Gray Tabby,Blush,None,Stocking
609,Santa Paw #609,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",609.gif,Cookie Kitchen,No glow,Gray Tabby,Sleepy,Elf Cap,Stocking
610,Santa Paw #610,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",610.gif,Cozy Hearth,Sparkle,Ginger,Sleepy,Santa Hat,Sweater
611,Santa Paw #611,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",611.gif,Gift Wrap,Soft Halo,Tuxedo,Wink,Elf Cap,Bells
612,Santa Paw #612,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",612.gif,Snowy Night,No glow,Calico,Surprised,Santa Hat,None
613,Santa Paw #613,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",613.gif,Snowy Night,Sparkle,Charcoal,Sleepy,Elf Cap,Sweater
614,Santa Paw #614,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",614.gif,Gift Wrap,No glow,Charcoal,Blush,Pom Beanie,Scarf
615,Santa Paw #615,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",615.gif,Candy Cane,No glow,Ginger,Heart Eyes,Elf Cap,Scarf
616,Santa Paw #616,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",616.gif,Snowy Night,Sparkle,Cocoa,Surprised,None,Stocking
617,Santa Paw #617,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",617.gif,Aurora,Soft Halo,White Fluff,Blush,Elf Cap,Cocoa
618,Santa Paw #618,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",618.gif,Snowy Night,Sparkle,Ginger,Wink,Holly Crown,Present
619,Santa Paw #619,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",619.gif,Cookie Kitchen,Ember,Calico,Sleepy,Antlers,Bells
620,Santa Paw #620,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",620.gif,Snowy Night,Snow Glitter,Tuxedo,Wink,Antlers,Mistletoe
621,Santa Paw #621,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",621.gif,Candy Cane,Ember,Ginger,Sleepy,Elf Cap,Bells
622,Santa Paw #622,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",622.gif,Cookie Kitchen,No glow,Calico,Blush,Santa Hat,None
623,Santa Paw #623,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",623.gif,Cozy Hearth,No glow,Tuxedo,Blush,None,Present
624,Santa Paw #624,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",624.gif,Gift Wrap,Sparkle,Ginger,Sleepy,Antlers,Bells
625,Santa Paw #625,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",625.gif,Candy Cane,Snow Glitter,Gray Tabby,Sleepy,Holly Crown,Bells
626,Santa Paw #626,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",626.gif,Cozy Hearth,Soft Halo,Tuxedo,Tongue Out,Santa Hat,Scarf
627,Santa Paw #627,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",627.gif,Cozy Hearth,Soft Halo,Calico,Wink,Antlers,None
628,Santa Paw #628,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",628.gif,Cozy Hearth,Snow Glitter,Charcoal,Wink,Santa Hat,Present
629,Santa Paw #629,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",629.gif,Cozy Hearth,Ember,Gray Tabby,Cheerful,None,Sweater
630,Santa Paw #630,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",630.gif,Cozy Hearth,Snow Glitter,Gray Tabby,Heart Eyes,Elf Cap,Sweater
631,Santa Paw #631,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",631.gif,Cookie Kitchen,No glow,Charcoal,Cheerful,Elf Cap,Sweater
632,Santa Paw #632,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",632.gif,Cookie Kitchen,Soft Halo,Calico,Surprised,Pom Beanie,Cocoa
633,Santa Paw #633,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",633.gif,Snowy Night,No glow,Tuxedo,Blush,None,Stocking
634,Santa Paw #634,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",634.gif,Snowy Night,No glow,Calico,Sleepy,Pom Beanie,Scarf
635,Santa Paw #635,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",635.gif,Cozy Hearth,Ember,White Fluff,Cheerful,Antlers,Scarf
636,Santa Paw #636,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",636.gif,Cozy Hearth,Ember,Cocoa,Surprised,Pom Beanie,Bells
637,Santa Paw #637,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",637.gif,Snowy Night,Snow Glitter,Ginger,Blush,Holly Crown,Scarf
638,Santa Paw #638,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",638.gif,Cozy Hearth,No glow,White Fluff,Sleepy,Pom Beanie,Bells
639,Santa Paw #639,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",639.gif,Aurora,No glow,Gray Tabby,Blush,Pom Beanie,None
640,Santa Paw #640,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",640.gif,Candy Cane,Ember,Tuxedo,Surprised,Pom Beanie,Scarf
641,Santa Paw #641,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",641.gif,Gift Wrap,No glow,Calico,Wink,Elf Cap,Mistletoe
642,Santa Paw #642,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",642.gif,Snowy Night,Soft Halo,White Fluff,Blush,Santa Hat,Cocoa
643,Santa Paw #643,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",643.gif,Aurora,Sparkle,Cocoa,Surprised,Elf Cap,None
644,Santa Paw #644,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",644.gif,Cookie Kitchen,No glow,Gray Tabby,Wink,Holly Crown,None
645,Santa Paw #645,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",645.gif,Cozy Hearth,No glow,Calico,Tongue Out,Elf Cap,Present
646,Santa Paw #646,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",646.gif,Snowy Night,Ember,Cocoa,Heart Eyes,Santa Hat,Scarf
647,Santa Paw #647,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",647.gif,Snowy Night,No glow,Cocoa,Surprised,Elf Cap,Present
648,Santa Paw #648,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",648.gif,Snowy Night,Ember,White Fluff,Sleepy,None,Cocoa
649,Santa Paw #649,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",649.gif,Cozy Hearth,Sparkle,Ginger,Sleepy,Santa Hat,Bells
650,Santa Paw #650,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",650.gif,Candy Cane,Ember,Charcoal,Wink,Holly Crown,Bells
651,Santa Paw #651,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",651.gif,Snowy Night,No glow,Tuxedo,Tongue Out,Antlers,Scarf
652,Santa Paw #652,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",652.gif,Gift Wrap,Soft Halo,Calico,Blush,Pom Beanie,Scarf
653,Santa Paw #653,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",653.gif,Cozy Hearth,Ember,Ginger,Sleepy,Pom Beanie,Bells
654,Santa Paw #654,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",654.gif,Aurora,Snow Glitter,White Fluff,Heart Eyes,Santa Hat,Scarf
655,Santa Paw #655,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",655.gif,Aurora,Sparkle,White Fluff,Tongue Out,Antlers,Sweater
656,Santa Paw #656,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",656.gif,Aurora,Soft Halo,Tuxedo,Heart Eyes,Santa Hat,Bells
657,Santa Paw #657,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",657.gif,Aurora,Soft Halo,White Fluff,Tongue Out,None,Present
658,Santa Paw #658,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",658.gif,Aurora,No glow,Cocoa,Blush,Pom Beanie,Scarf
659,Santa Paw #659,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",659.gif,Snowy Night,No glow,White Fluff,Wink,Antlers,Cocoa
660,Santa Paw #660,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",660.gif,Candy Cane,Soft Halo,Charcoal,Wink,Elf Cap,Present
661,Santa Paw #661,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",661.gif,Cookie Kitchen,No glow,White Fluff,Cheerful,Santa Hat,Bells
662,Santa Paw #662,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",662.gif,Cozy Hearth,Snow Glitter,Ginger,Surprised,Antlers,Sweater
663,Santa Paw #663,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",663.gif,Cozy Hearth,Sparkle,Tuxedo,Sleepy,Pom Beanie,Present
664,Santa Paw #664,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",664.gif,Snowy Night,Soft Halo,White Fluff,Cheerful,None,None
665,Santa Paw #665,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",665.gif,Cozy Hearth,Ember,White Fluff,Heart Eyes,Santa Hat,None
666,Santa Paw #666,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",666.gif,Aurora,Snow Glitter,Gray Tabby,Sleepy,Pom Beanie,Present
667,Santa Paw #667,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",667.gif,Candy Cane,Soft Halo,Tuxedo,Cheerful,Santa Hat,Scarf
668,Santa Paw #668,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",668.gif,Candy Cane,Ember,Calico,Sleepy,Santa Hat,Mistletoe
669,Santa Paw #669,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",669.gif,Aurora,Snow Glitter,Ginger,Wink,None,Sweater
670,Santa Paw #670,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",670.gif,Gift Wrap,Ember,Cocoa,Sleepy,Holly Crown,Present
671,Santa Paw #671,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",671.gif,Cozy Hearth,Snow Glitter,Tuxedo,Sleepy,None,Cocoa
672,Santa Paw #672,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",672.gif,Aurora,Snow Glitter,Charcoal,Blush,None,Present
673,Santa Paw #673,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",673.gif,Gift Wrap,No glow,Charcoal,Sleepy,Elf Cap,Sweater
674,Santa Paw #674,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",674.gif,Cookie Kitchen,Sparkle,Calico,Heart Eyes,Elf Cap,Present
675,Santa Paw #675,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",675.gif,Gift Wrap,No glow,Tuxedo,Cheerful,Elf Cap,Present
676,Santa Paw #676,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",676.gif,Cookie Kitchen,Snow Glitter,Ginger,Wink,Elf Cap,Present
677,Santa Paw #677,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",677.gif,Cozy Hearth,Sparkle,Tuxedo,Wink,Holly Crown,Scarf
678,Santa Paw #678,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",678.gif,Cookie Kitchen,Sparkle,Gray Tabby,Wink,Pom Beanie,Bells
679,Santa Paw #679,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",679.gif,Candy Cane,Sparkle,Cocoa,Sleepy,Santa Hat,Sweater
680,Santa Paw #680,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",680.gif,Snowy Night,No glow,Charcoal,Sleepy,None,Present
681,Santa Paw #681,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",681.gif,Candy Cane,Soft Halo,Ginger,Cheerful,Antlers,Bells
682,Santa Paw #682,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",682.gif,Cozy Hearth,No glow,White Fluff,Wink,Santa Hat,Bells
683,Santa Paw #683,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",683.gif,Snowy Night,Soft Halo,Charcoal,Cheerful,Elf Cap,None
684,Santa Paw #684,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",684.gif,Gift Wrap,Snow Glitter,Gray Tabby,Blush,Santa Hat,Sweater
685,Santa Paw #685,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",685.gif,Cookie Kitchen,Sparkle,Tuxedo,Sleepy,Antlers,Cocoa
686,Santa Paw #686,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",686.gif,Candy Cane,Snow Glitter,Calico,Wink,Elf Cap,None
687,Santa Paw #687,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",687.gif,Snowy Night,No glow,Gray Tabby,Heart Eyes,Elf Cap,Sweater
688,Santa Paw #688,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",688.gif,Cookie Kitchen,Ember,White Fluff,Cheerful,None,None
689,Santa Paw #689,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",689.gif,Cookie Kitchen,Snow Glitter,White Fluff,Blush,Pom Beanie,Present
690,Santa Paw #690,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",690.gif,Cookie Kitchen,Sparkle,Tuxedo,Wink,Santa Hat,Scarf
691,Santa Paw #691,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",691.gif,Snowy Night,Soft Halo,White Fluff,Blush,Holly Crown,Sweater
692,Santa Paw #692,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",692.gif,Cozy Hearth,Snow Glitter,Charcoal,Tongue Out,Antlers,Scarf
693,Santa Paw #693,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",693.gif,Aurora,Sparkle,White Fluff,Blush,Holly Crown,Stocking
694,Santa Paw #694,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",694.gif,Snowy Night,Snow Glitter,Tuxedo,Cheerful,Holly Crown,Scarf
695,Santa Paw #695,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",695.gif,Aurora,Sparkle,White Fluff,Wink,Pom Beanie,Scarf
696,Santa Paw #696,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",696.gif,Candy Cane,No glow,White Fluff,Heart Eyes,Santa Hat,Bells
697,Santa Paw #697,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",697.gif,Candy Cane,Soft Halo,Gray Tabby,Surprised,Antlers,Mistletoe
698,Santa Paw #698,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",698.gif,Cozy Hearth,Ember,Ginger,Blush,Santa Hat,Bells
699,Santa Paw #699,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",699.gif,Candy Cane,Soft Halo,Charcoal,Heart Eyes,Elf Cap,Mistletoe
700,Santa Paw #700,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",700.gif,Snowy Night,No glow,Calico,Cheerful,Elf Cap,Scarf
701,Santa Paw #701,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",701.gif,Candy Cane,Soft Halo,White Fluff,Cheerful,Santa Hat,Cocoa
702,Santa Paw #702,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",702.gif,Snowy Night,Snow Glitter,White Fluff,Wink,Santa Hat,None
703,Santa Paw #703,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",703.gif,Aurora,Sparkle,Calico,Wink,Antlers,Scarf
704,Santa Paw #704,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",704.gif,Cozy Hearth,No glow,Tuxedo,Blush,Holly Crown,Scarf
705,Santa Paw #705,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",705.gif,Snowy Night,Sparkle,Cocoa,Tongue Out,Pom Beanie,Stocking
706,Santa Paw #706,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",706.gif,Cookie Kitchen,Snow Glitter,White Fluff,Heart Eyes,Antlers,Cocoa
707,Santa Paw #707,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",707.gif,Gift Wrap,Snow Glitter,Gray Tabby,Blush,None,Stocking
708,Santa Paw #708,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",708.gif,Cookie Kitchen,No glow,Gray Tabby,Sleepy,None,Scarf
709,Santa Paw #709,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",709.gif,Cozy Hearth,Ember,White Fluff,Surprised,Antlers,Bells
710,Santa Paw #710,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",710.gif,Snowy Night,Ember,Charcoal,Sleepy,None,None
711,Santa Paw #711,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",711.gif,Snowy Night,No glow,Calico,Blush,Holly Crown,Bells
712,Santa Paw #712,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",712.gif,Cookie Kitchen,No glow,Ginger,Cheerful,Pom Beanie,Bells
